soil_type,soil_pH,temperature,humidity,organic_carbon,sodium,potassium,nitrogen,phosphorus,Soil_Quality,Disease,soil_type_encoded,Disease_encoded
Limoneux,6.5,27.1,48.4,0.96,81.9,89.3,21.5,11.2,Moyenne,Fusariose,4,2
Ferrugineux tropicaux,5.9,35.0,29.3,0.46,139.0,75.9,11.6,20.6,Faible,Fusariose,1,2
Graveleux,5.1,39.4,18.7,0.25,103.6,110.2,37.8,18.8,Faible,Charcoal Rot,2,1
Sableux,5.7,32.9,27.6,0.28,61.9,188.4,23.3,13.1,Faible,Nématodose,5,3
Sableux,6.3,32.4,33.5,0.23,78.2,180.5,39.6,6.4,Faible,Sclérotiniose,5,4
Argilo-sableux,6.9,30.1,44.9,0.63,144.3,124.8,36.3,13.9,Moyenne,Sclérotiniose,0,4
Hydromorphes,6.2,26.7,50.9,1.3,115.2,187.7,15.8,29.0,Moyenne,Fusariose,3,2
Argilo-sableux,6.2,28.2,37.1,0.67,130.6,157.5,24.5,15.7,Moyenne,Charcoal Rot,0,1
Hydromorphes,6.7,26.5,62.9,1.43,110.3,162.6,33.6,10.9,Élevée,Sclérotiniose,3,4
Sableux,5.7,32.1,20.9,0.32,70.6,84.0,37.4,18.0,Faible,Fusariose,5,2
Graveleux,5.5,34.4,21.9,0.23,138.3,107.8,35.1,13.4,Faible,Fusariose,2,2
Limoneux,7.2,26.1,50.4,0.85,140.6,155.5,29.9,19.8,Moyenne,Sclérotiniose,4,4
Hydromorphes,6.0,28.3,60.3,1.08,109.2,171.3,11.0,13.0,Moyenne,Fusariose,3,2
Ferrugineux tropicaux,5.7,31.8,35.0,0.45,70.9,183.6,15.3,15.0,Faible,Fusariose,1,2
Graveleux,5.6,34.4,21.6,0.11,126.2,140.0,17.6,21.3,Faible,Charcoal Rot,2,1
Hydromorphes,6.1,27.4,51.7,1.34,109.6,192.8,11.4,7.2,Moyenne,Fusariose,3,2
Graveleux,5.4,37.0,28.4,0.2,83.6,85.7,12.8,9.1,Faible,Anthracnose,2,0
Graveleux,5.5,37.3,29.7,0.23,117.0,140.1,27.3,27.1,Faible,Fusariose,2,2
Graveleux,5.7,34.2,25.8,0.26,91.0,92.4,31.5,14.4,Faible,Charcoal Rot,2,1
Graveleux,5.2,39.1,16.4,0.14,130.5,91.6,35.6,6.1,Faible,Charcoal Rot,2,1
Ferrugineux tropicaux,5.8,31.6,22.1,0.36,117.7,186.8,30.7,20.1,Faible,Fusariose,1,2
Argilo-sableux,6.9,30.1,39.7,0.62,66.6,153.5,21.9,24.3,Moyenne,Anthracnose,0,0
Sableux,6.4,35.1,22.1,0.24,128.0,145.6,23.6,5.6,Faible,Fusariose,5,2
Sableux,6.4,37.7,29.0,0.39,93.5,157.7,40.0,22.3,Faible,Charcoal Rot,5,1
Graveleux,5.2,37.9,25.7,0.24,63.9,149.9,13.1,19.9,Faible,Nématodose,2,3
Hydromorphes,6.8,29.8,56.1,1.03,108.5,195.2,18.6,20.7,Moyenne,Anthracnose,3,0
Graveleux,5.8,36.3,26.8,0.27,77.2,92.2,23.7,19.9,Faible,Charcoal Rot,2,1
Hydromorphes,7.0,29.8,63.0,1.34,118.5,183.6,30.5,28.3,Élevée,Fusariose,3,2
Limoneux,7.1,30.6,50.9,0.91,70.6,194.8,22.1,23.3,Moyenne,Anthracnose,4,0
Argilo-sableux,6.3,30.6,34.1,0.53,130.1,125.2,33.0,6.4,Moyenne,Nématodose,0,3
Sableux,6.2,34.9,33.8,0.23,86.0,175.4,28.6,5.3,Faible,Nématodose,5,3
Hydromorphes,6.2,27.8,52.3,1.33,88.6,135.9,14.1,21.8,Moyenne,Fusariose,3,2
Hydromorphes,6.2,29.0,56.9,1.09,129.1,164.3,17.7,23.0,Moyenne,Sclérotiniose,3,4
Hydromorphes,6.5,27.3,62.2,1.06,92.3,82.8,16.4,13.0,Moyenne,Nématodose,3,3
Graveleux,5.2,38.1,26.8,0.18,82.4,159.2,22.2,10.5,Faible,Sclérotiniose,2,4
Ferrugineux tropicaux,5.9,33.4,23.2,0.32,121.6,187.2,35.0,16.6,Faible,Fusariose,1,2
Hydromorphes,6.9,26.4,59.7,1.04,61.1,134.7,24.8,10.6,Moyenne,Anthracnose,3,0
Limoneux,7.4,29.2,54.4,0.91,88.6,104.3,32.7,12.0,Moyenne,Charcoal Rot,4,1
Argilo-sableux,6.3,28.7,35.0,0.62,89.0,145.9,17.0,29.3,Moyenne,Anthracnose,0,0
Ferrugineux tropicaux,5.9,32.8,34.4,0.44,79.1,166.1,13.5,18.0,Faible,Nématodose,1,3
Hydromorphes,6.9,25.0,51.4,1.44,72.2,72.4,10.5,26.4,Moyenne,Charcoal Rot,3,1
Argilo-sableux,6.6,33.0,31.1,0.5,115.3,178.3,24.1,9.0,Moyenne,Sclérotiniose,0,4
Graveleux,6.0,36.4,15.4,0.22,87.9,186.6,10.7,26.4,Faible,Sclérotiniose,2,4
Limoneux,7.4,30.5,40.7,0.86,111.5,110.7,35.2,22.4,Moyenne,Fusariose,4,2
Hydromorphes,6.4,25.3,53.2,1.34,83.7,183.5,32.1,24.2,Élevée,Anthracnose,3,0
Ferrugineux tropicaux,5.1,31.9,27.0,0.35,114.6,93.2,28.3,15.5,Faible,Sclérotiniose,1,4
Graveleux,5.0,36.1,19.1,0.27,73.7,80.3,14.7,6.0,Faible,Sclérotiniose,2,4
Limoneux,7.1,31.3,48.8,0.85,122.6,162.5,34.1,13.2,Moyenne,Anthracnose,4,0
Limoneux,6.6,27.3,42.9,1.01,130.8,127.4,16.8,14.7,Moyenne,Fusariose,4,2
Limoneux,7.5,31.0,50.3,1.08,137.9,170.1,39.0,12.9,Élevée,Fusariose,4,2
Limoneux,7.0,28.5,50.4,0.96,126.0,126.1,18.5,22.7,Moyenne,Anthracnose,4,0
Ferrugineux tropicaux,5.9,31.5,36.2,0.35,131.0,146.7,27.8,20.1,Faible,Fusariose,1,2
Ferrugineux tropicaux,5.7,33.4,28.5,0.46,105.9,164.5,39.1,26.7,Faible,Nématodose,1,3
Hydromorphes,6.5,26.4,52.1,1.15,138.0,183.8,11.1,24.6,Moyenne,Anthracnose,3,0
Hydromorphes,6.8,27.3,56.6,1.36,91.2,107.8,11.9,27.6,Moyenne,Charcoal Rot,3,1
Ferrugineux tropicaux,5.6,35.4,27.9,0.48,135.9,174.6,26.9,28.4,Faible,Nématodose,1,3
Argilo-sableux,6.4,34.0,44.8,0.54,120.9,192.0,40.0,25.8,Moyenne,Charcoal Rot,0,1
Argilo-sableux,6.1,29.3,35.7,0.69,108.6,148.5,32.6,14.0,Moyenne,Sclérotiniose,0,4
Sableux,6.1,33.7,32.0,0.33,144.3,129.0,14.5,8.2,Faible,Fusariose,5,2
Argilo-sableux,6.5,32.0,44.1,0.65,148.5,127.2,15.4,7.4,Moyenne,Charcoal Rot,0,1
Limoneux,7.3,26.1,54.9,0.87,95.7,140.0,20.2,6.7,Moyenne,Sclérotiniose,4,4
Ferrugineux tropicaux,5.7,34.4,31.7,0.45,145.1,113.8,13.6,14.5,Faible,Anthracnose,1,0
Ferrugineux tropicaux,5.2,35.1,28.5,0.32,88.8,178.6,28.2,15.2,Faible,Sclérotiniose,1,4
Sableux,6.0,33.4,28.8,0.27,107.1,86.4,24.7,14.4,Faible,Nématodose,5,3
Limoneux,7.2,31.9,43.8,1.1,74.1,163.5,13.9,13.4,Moyenne,Fusariose,4,2
Sableux,5.9,37.4,34.7,0.22,104.3,104.0,28.2,29.7,Faible,Nématodose,5,3
Argilo-sableux,6.6,29.3,34.8,0.64,119.1,112.1,36.6,29.4,Moyenne,Sclérotiniose,0,4
Sableux,6.0,32.2,20.3,0.22,78.0,181.3,11.2,20.4,Faible,Fusariose,5,2
Ferrugineux tropicaux,5.7,33.6,20.5,0.34,77.5,108.0,30.3,22.6,Faible,Nématodose,1,3
Argilo-sableux,6.6,29.9,36.4,0.7,101.0,133.8,11.6,14.9,Moyenne,Sclérotiniose,0,4
Graveleux,5.1,39.7,28.9,0.17,72.3,188.2,25.4,28.0,Faible,Anthracnose,2,0
Ferrugineux tropicaux,5.1,31.8,30.0,0.43,84.1,172.6,20.2,5.5,Faible,Charcoal Rot,1,1
Sableux,6.5,37.7,23.9,0.26,102.3,95.4,39.9,28.1,Faible,Charcoal Rot,5,1
Graveleux,5.5,34.2,27.9,0.19,120.4,120.4,13.5,18.3,Faible,Sclérotiniose,2,4
Graveleux,5.9,38.3,16.9,0.14,85.2,162.2,14.9,28.5,Faible,Charcoal Rot,2,1
Graveleux,5.0,39.3,16.9,0.27,135.0,92.4,10.5,5.2,Faible,Anthracnose,2,0
Graveleux,5.9,38.5,20.3,0.12,102.2,180.7,19.2,10.6,Faible,Anthracnose,2,0
Ferrugineux tropicaux,5.8,33.7,36.2,0.41,95.5,77.0,25.2,10.7,Faible,Nématodose,1,3
Ferrugineux tropicaux,5.7,33.2,36.6,0.45,63.7,142.0,31.5,7.1,Faible,Charcoal Rot,1,1
Graveleux,5.1,38.6,22.3,0.16,88.5,185.2,10.9,21.3,Faible,Anthracnose,2,0
Limoneux,7.0,28.8,54.7,1.09,136.1,167.3,38.8,20.3,Élevée,Nématodose,4,3
Hydromorphes,6.6,28.0,69.5,1.47,118.9,150.1,15.5,12.0,Moyenne,Charcoal Rot,3,1
Graveleux,5.6,36.4,23.7,0.13,95.0,164.5,12.0,6.5,Faible,Charcoal Rot,2,1
Hydromorphes,6.5,29.5,65.1,1.08,104.3,156.1,13.3,26.3,Moyenne,Fusariose,3,2
Limoneux,6.5,26.0,50.1,1.07,102.6,122.1,18.6,27.3,Moyenne,Charcoal Rot,4,1
Ferrugineux tropicaux,5.8,31.2,38.1,0.44,122.7,173.4,37.6,25.5,Faible,Sclérotiniose,1,4
Sableux,6.4,34.2,25.7,0.28,124.7,189.7,24.2,25.3,Faible,Nématodose,5,3
Argilo-sableux,6.2,28.8,43.3,0.57,91.0,82.0,30.0,9.2,Moyenne,Nématodose,0,3
Sableux,5.7,34.7,32.3,0.33,119.6,164.6,10.8,7.9,Faible,Sclérotiniose,5,4
Ferrugineux tropicaux,5.7,30.2,26.7,0.31,97.7,148.4,19.6,19.1,Faible,Nématodose,1,3
Argilo-sableux,6.1,32.7,40.2,0.69,114.8,156.4,17.9,22.8,Moyenne,Sclérotiniose,0,4
Limoneux,7.2,26.3,53.5,0.99,72.6,84.8,16.1,13.5,Moyenne,Nématodose,4,3
Graveleux,5.1,39.2,29.2,0.22,71.8,118.0,20.1,12.7,Faible,Sclérotiniose,2,4
Ferrugineux tropicaux,5.7,34.2,27.7,0.31,140.3,107.7,33.4,9.8,Faible,Anthracnose,1,0
Sableux,5.6,35.6,34.3,0.29,129.8,141.8,26.0,17.7,Faible,Fusariose,5,2
Argilo-sableux,6.2,30.8,36.7,0.63,67.2,183.6,32.4,14.6,Moyenne,Sclérotiniose,0,4
Hydromorphes,6.8,27.5,57.0,1.46,85.3,174.7,27.4,7.9,Moyenne,Nématodose,3,3
Argilo-sableux,6.7,32.2,41.4,0.68,119.3,159.7,19.1,24.7,Moyenne,Sclérotiniose,0,4
Sableux,6.0,33.8,23.1,0.35,125.4,180.7,18.6,11.7,Faible,Charcoal Rot,5,1
Hydromorphes,6.9,27.2,69.1,1.4,131.3,95.4,28.6,25.9,Moyenne,Anthracnose,3,0
Hydromorphes,6.2,25.8,50.1,1.29,80.4,120.8,39.6,14.1,Élevée,Sclérotiniose,3,4
Ferrugineux tropicaux,5.1,34.5,28.3,0.43,92.1,143.1,15.0,27.0,Faible,Sclérotiniose,1,4
Sableux,5.6,33.3,21.0,0.32,72.7,131.4,26.4,16.4,Faible,Charcoal Rot,5,1
Argilo-sableux,7.0,28.1,36.3,0.65,99.7,196.1,13.1,8.9,Moyenne,Fusariose,0,2
Ferrugineux tropicaux,5.1,30.1,26.0,0.31,144.2,189.3,33.8,9.7,Faible,Nématodose,1,3
Graveleux,5.6,35.2,17.2,0.3,92.6,196.8,18.8,13.8,Faible,Fusariose,2,2
Hydromorphes,6.8,26.9,55.4,1.42,148.9,132.9,18.4,23.0,Moyenne,Charcoal Rot,3,1
Hydromorphes,6.4,25.8,61.3,1.1,144.2,166.9,26.6,8.8,Moyenne,Fusariose,3,2
Argilo-sableux,6.6,28.9,32.3,0.65,123.6,188.7,20.5,8.7,Moyenne,Fusariose,0,2
Graveleux,5.7,35.4,21.4,0.23,106.5,168.1,21.1,7.4,Faible,Charcoal Rot,2,1
Argilo-sableux,6.2,32.7,44.4,0.6,121.3,167.1,28.8,9.6,Moyenne,Nématodose,0,3
Sableux,5.6,36.8,32.6,0.2,120.4,157.8,38.4,28.9,Faible,Nématodose,5,3
Sableux,6.4,34.7,33.1,0.35,136.2,104.7,17.8,10.8,Faible,Anthracnose,5,0
Ferrugineux tropicaux,5.9,32.2,30.2,0.44,140.8,174.6,24.6,14.4,Faible,Nématodose,1,3
Hydromorphes,6.5,25.7,60.0,1.44,101.2,113.3,28.9,16.0,Moyenne,Anthracnose,3,0
Ferrugineux tropicaux,5.0,35.8,21.0,0.37,142.3,155.9,12.5,5.8,Faible,Nématodose,1,3
Graveleux,5.1,36.1,19.4,0.23,75.1,92.5,25.8,23.5,Faible,Sclérotiniose,2,4
Limoneux,6.6,29.1,50.4,0.86,136.7,119.5,10.4,6.5,Moyenne,Nématodose,4,3
Graveleux,5.6,36.3,20.2,0.28,121.3,174.8,36.3,28.2,Faible,Fusariose,2,2
Ferrugineux tropicaux,5.0,33.2,39.1,0.4,98.0,121.6,28.8,28.8,Faible,Charcoal Rot,1,1
Graveleux,5.6,37.9,24.1,0.2,115.2,132.4,14.6,16.1,Faible,Nématodose,2,3
Limoneux,7.1,31.2,48.1,0.93,98.8,138.2,29.2,19.7,Moyenne,Charcoal Rot,4,1
Argilo-sableux,6.2,33.1,33.6,0.58,121.1,175.3,11.9,7.5,Moyenne,Nématodose,0,3
Sableux,6.3,34.8,33.2,0.28,137.7,161.4,20.3,12.1,Faible,Charcoal Rot,5,1
Hydromorphes,6.5,28.1,56.5,1.39,79.0,196.2,12.6,22.6,Moyenne,Nématodose,3,3
Argilo-sableux,6.3,28.9,32.6,0.5,129.9,88.1,28.5,11.6,Moyenne,Fusariose,0,2
Ferrugineux tropicaux,5.6,30.1,27.4,0.36,96.7,154.3,37.6,12.9,Faible,Charcoal Rot,1,1
Hydromorphes,6.5,29.2,61.2,1.18,127.7,93.4,27.5,11.5,Moyenne,Nématodose,3,3
Argilo-sableux,6.5,33.1,43.7,0.55,96.2,111.0,38.2,5.8,Moyenne,Nématodose,0,3
Argilo-sableux,6.3,33.5,34.9,0.55,110.6,187.0,23.2,12.0,Moyenne,Fusariose,0,2
Sableux,6.1,36.5,26.2,0.38,69.1,138.1,23.4,8.2,Faible,Nématodose,5,3
Graveleux,5.8,39.9,24.0,0.28,146.5,134.3,30.9,8.2,Faible,Sclérotiniose,2,4
Hydromorphes,6.0,29.9,60.4,1.31,100.5,99.3,26.1,8.4,Moyenne,Fusariose,3,2
Graveleux,5.8,34.9,27.2,0.12,72.6,79.5,14.9,13.4,Faible,Sclérotiniose,2,4
Graveleux,5.4,35.4,24.5,0.13,144.7,148.4,35.9,24.5,Faible,Anthracnose,2,0
Argilo-sableux,6.3,29.4,41.7,0.64,95.7,158.6,37.2,28.6,Moyenne,Sclérotiniose,0,4
Graveleux,5.6,34.5,22.0,0.17,125.1,120.8,36.2,22.7,Faible,Charcoal Rot,2,1
Argilo-sableux,6.3,31.8,33.5,0.68,70.0,139.1,34.6,19.7,Moyenne,Anthracnose,0,0
Limoneux,6.9,29.8,44.3,0.91,63.8,194.0,23.8,20.3,Moyenne,Sclérotiniose,4,4
Graveleux,5.3,34.8,22.3,0.27,97.0,154.4,33.4,17.2,Faible,Fusariose,2,2
Limoneux,7.2,26.7,50.1,1.12,64.8,151.5,15.0,22.3,Moyenne,Fusariose,4,2
Hydromorphes,6.6,27.2,51.6,1.13,130.8,171.9,29.4,12.2,Moyenne,Charcoal Rot,3,1
Argilo-sableux,6.6,32.8,44.2,0.55,145.3,72.5,21.7,12.2,Moyenne,Nématodose,0,3
Graveleux,5.6,36.6,17.7,0.12,112.6,160.6,36.0,16.5,Faible,Charcoal Rot,2,1
Argilo-sableux,6.8,32.9,43.2,0.7,87.2,87.9,29.6,16.2,Moyenne,Charcoal Rot,0,1
Ferrugineux tropicaux,5.7,30.0,21.9,0.44,116.8,187.1,12.3,8.5,Faible,Sclérotiniose,1,4
Argilo-sableux,6.1,31.9,40.7,0.68,74.5,87.5,34.6,10.1,Moyenne,Sclérotiniose,0,4
Sableux,6.0,36.7,26.1,0.27,72.7,129.2,32.8,8.2,Faible,Sclérotiniose,5,4
Argilo-sableux,6.5,33.7,33.6,0.69,124.1,189.7,32.7,24.6,Moyenne,Nématodose,0,3
Ferrugineux tropicaux,5.5,33.6,26.6,0.44,123.6,130.0,19.1,21.3,Faible,Charcoal Rot,1,1
Sableux,5.7,34.9,31.0,0.34,125.4,142.6,11.5,13.3,Faible,Charcoal Rot,5,1
Argilo-sableux,6.9,31.8,39.5,0.62,115.4,105.6,37.4,10.9,Moyenne,Sclérotiniose,0,4
Ferrugineux tropicaux,5.7,33.1,20.1,0.41,142.5,102.9,38.6,11.7,Faible,Sclérotiniose,1,4
Hydromorphes,6.2,29.8,56.1,1.44,82.0,102.9,38.0,22.8,Élevée,Sclérotiniose,3,4
Argilo-sableux,6.9,30.3,41.9,0.57,64.5,112.7,36.1,25.0,Moyenne,Charcoal Rot,0,1
Graveleux,5.7,38.8,16.1,0.15,105.8,114.4,22.2,26.3,Faible,Charcoal Rot,2,1
Graveleux,5.4,37.5,16.0,0.17,112.4,154.5,14.4,26.7,Faible,Charcoal Rot,2,1
Sableux,5.6,37.5,28.0,0.29,126.0,165.8,19.9,19.0,Faible,Charcoal Rot,5,1
Argilo-sableux,7.0,30.0,36.9,0.65,72.6,197.9,34.4,24.0,Moyenne,Anthracnose,0,0
Argilo-sableux,6.3,33.6,39.5,0.57,72.7,170.3,27.1,16.5,Moyenne,Fusariose,0,2
Ferrugineux tropicaux,5.5,32.6,21.2,0.37,130.3,92.2,21.7,23.3,Faible,Charcoal Rot,1,1
Sableux,5.9,36.1,27.8,0.37,83.2,126.7,22.1,28.6,Faible,Charcoal Rot,5,1
Hydromorphes,6.1,28.3,67.8,1.36,103.1,150.1,36.9,14.1,Élevée,Nématodose,3,3
Graveleux,5.8,38.6,26.8,0.15,71.4,80.3,18.8,11.6,Faible,Fusariose,2,2
Ferrugineux tropicaux,5.7,32.0,30.3,0.45,82.1,159.1,26.3,26.4,Faible,Sclérotiniose,1,4
Graveleux,5.1,35.8,17.3,0.27,77.3,124.3,12.0,25.5,Faible,Sclérotiniose,2,4
Graveleux,5.5,34.8,28.2,0.18,127.1,102.9,26.7,13.9,Faible,Anthracnose,2,0
Hydromorphes,6.7,26.7,57.9,1.39,78.7,74.3,24.0,24.8,Moyenne,Nématodose,3,3
Ferrugineux tropicaux,5.9,31.5,20.6,0.38,129.2,73.0,19.4,22.2,Faible,Charcoal Rot,1,1
Limoneux,6.5,27.0,52.5,1.02,88.2,145.3,16.1,29.2,Moyenne,Nématodose,4,3
Argilo-sableux,6.9,29.0,36.6,0.52,140.3,174.9,37.9,17.9,Moyenne,Fusariose,0,2
Graveleux,5.1,37.3,23.1,0.13,108.8,171.8,22.1,11.7,Faible,Nématodose,2,3
Graveleux,5.2,37.8,25.4,0.11,109.1,140.0,25.7,9.7,Faible,Nématodose,2,3
Argilo-sableux,6.5,31.9,43.6,0.58,79.1,133.1,11.3,8.7,Moyenne,Fusariose,0,2
Limoneux,7.0,31.1,47.7,0.83,114.0,194.5,39.0,27.0,Moyenne,Fusariose,4,2
Argilo-sableux,6.4,31.6,43.7,0.56,68.3,157.6,16.4,19.1,Moyenne,Charcoal Rot,0,1
Graveleux,5.8,38.6,16.3,0.22,98.0,139.9,20.3,26.1,Faible,Sclérotiniose,2,4
Limoneux,7.5,29.8,49.5,0.89,86.9,137.5,10.4,21.5,Moyenne,Anthracnose,4,0
Limoneux,7.1,27.2,48.0,1.11,122.3,152.2,37.1,19.0,Élevée,Anthracnose,4,0
Graveleux,5.6,36.1,17.0,0.11,111.0,73.0,38.4,29.4,Faible,Fusariose,2,2
Hydromorphes,6.7,29.6,59.7,1.26,73.2,192.5,35.2,28.2,Élevée,Charcoal Rot,3,1
Limoneux,6.8,26.4,51.3,0.97,100.1,104.5,30.9,10.2,Moyenne,Charcoal Rot,4,1
Graveleux,5.5,35.6,28.5,0.11,103.3,186.2,24.8,17.2,Faible,Fusariose,2,2
Limoneux,7.0,28.2,51.2,0.82,80.5,193.2,30.6,11.0,Moyenne,Nématodose,4,3
Ferrugineux tropicaux,5.6,33.9,28.5,0.39,126.7,96.4,26.9,12.6,Faible,Nématodose,1,3
Hydromorphes,6.8,26.3,62.0,1.16,105.4,88.9,23.4,13.3,Moyenne,Nématodose,3,3
Limoneux,7.3,29.5,40.5,0.95,93.2,194.8,29.6,20.8,Moyenne,Nématodose,4,3
Argilo-sableux,6.1,32.5,41.5,0.69,124.6,136.8,33.4,11.1,Moyenne,Nématodose,0,3
Ferrugineux tropicaux,5.3,33.5,36.0,0.4,141.5,143.5,20.1,10.9,Faible,Anthracnose,1,0
Hydromorphes,6.1,26.6,50.6,1.15,70.0,164.8,26.7,22.7,Moyenne,Anthracnose,3,0
Ferrugineux tropicaux,5.6,31.6,34.1,0.38,145.5,187.8,32.9,25.9,Faible,Fusariose,1,2
Ferrugineux tropicaux,5.8,31.3,39.8,0.41,128.1,166.6,18.4,26.0,Faible,Nématodose,1,3
Ferrugineux tropicaux,5.1,34.9,24.1,0.46,110.6,146.3,25.2,13.8,Faible,Sclérotiniose,1,4
Sableux,6.3,35.1,32.9,0.34,146.0,170.4,18.0,28.1,Faible,Fusariose,5,2
Ferrugineux tropicaux,5.9,35.0,31.9,0.36,99.6,189.2,34.1,14.1,Faible,Anthracnose,1,0
Argilo-sableux,6.2,31.8,38.6,0.59,134.7,95.8,23.5,14.7,Moyenne,Anthracnose,0,0
Graveleux,5.7,38.0,27.3,0.12,124.4,85.7,39.8,9.6,Faible,Nématodose,2,3
Limoneux,6.6,30.0,46.0,1.01,91.4,188.4,39.0,12.8,Élevée,Nématodose,4,3
Sableux,6.1,34.9,30.4,0.34,148.4,154.0,39.2,5.6,Faible,Anthracnose,5,0
Limoneux,7.0,31.1,47.4,1.07,137.0,144.1,39.4,17.9,Élevée,Fusariose,4,2
Graveleux,5.4,37.0,26.7,0.29,147.1,184.1,18.9,24.5,Faible,Sclérotiniose,2,4
Sableux,6.4,36.3,33.4,0.4,147.6,94.2,16.8,17.3,Faible,Charcoal Rot,5,1
Sableux,6.3,35.9,31.8,0.36,103.2,138.1,20.3,24.3,Faible,Anthracnose,5,0
Hydromorphes,7.0,29.2,57.1,1.29,120.1,150.1,34.6,17.7,Élevée,Sclérotiniose,3,4
Limoneux,7.4,26.8,50.7,1.2,141.3,131.7,18.4,28.2,Moyenne,Nématodose,4,3
Argilo-sableux,6.1,28.1,37.0,0.69,87.9,111.0,17.4,11.1,Moyenne,Fusariose,0,2
Argilo-sableux,6.7,32.4,36.8,0.64,120.2,120.1,11.8,27.8,Moyenne,Charcoal Rot,0,1
Hydromorphes,6.8,26.4,58.9,1.07,75.4,178.2,12.5,28.6,Moyenne,Charcoal Rot,3,1
Ferrugineux tropicaux,5.4,32.5,36.3,0.37,113.2,191.9,24.1,8.2,Faible,Charcoal Rot,1,1
Argilo-sableux,6.5,31.2,31.8,0.61,66.3,196.3,12.3,15.5,Moyenne,Sclérotiniose,0,4
Graveleux,5.6,37.4,20.0,0.22,144.0,149.8,27.2,28.0,Faible,Nématodose,2,3
Limoneux,6.6,29.4,40.1,0.84,86.5,138.6,10.3,25.1,Moyenne,Sclérotiniose,4,4
Graveleux,5.7,34.5,16.7,0.27,88.9,75.3,25.1,24.5,Faible,Nématodose,2,3
Hydromorphes,6.1,29.5,51.9,1.24,130.9,127.5,21.1,14.9,Moyenne,Fusariose,3,2
Graveleux,5.2,38.1,25.9,0.15,145.8,185.0,35.3,11.1,Faible,Fusariose,2,2
Argilo-sableux,6.3,29.8,36.2,0.59,105.9,92.8,37.2,10.0,Moyenne,Nématodose,0,3
Limoneux,6.7,31.3,49.3,0.91,90.9,154.1,12.2,13.7,Moyenne,Anthracnose,4,0
Limoneux,7.4,29.7,46.6,0.88,92.2,163.0,19.4,13.9,Moyenne,Nématodose,4,3
Graveleux,5.3,39.8,23.5,0.29,145.1,147.8,21.1,11.4,Faible,Fusariose,2,2
Graveleux,5.7,39.6,22.0,0.18,73.7,199.4,22.9,25.2,Faible,Fusariose,2,2
Limoneux,6.6,31.7,50.8,0.91,61.1,112.5,22.8,10.4,Moyenne,Anthracnose,4,0
Limoneux,6.7,29.8,47.6,0.91,78.5,174.2,31.2,23.6,Moyenne,Anthracnose,4,0
Limoneux,7.4,29.4,52.0,0.89,113.5,164.9,26.3,26.3,Moyenne,Nématodose,4,3
Limoneux,6.8,27.9,47.1,1.19,127.2,135.0,24.1,24.5,Moyenne,Sclérotiniose,4,4
Limoneux,7.0,26.8,47.4,0.97,144.8,74.8,24.4,5.0,Moyenne,Charcoal Rot,4,1
Limoneux,6.7,28.2,54.3,0.91,95.5,174.7,31.4,25.3,Moyenne,Nématodose,4,3
Limoneux,7.1,26.9,48.6,1.2,118.6,183.8,35.6,28.6,Élevée,Anthracnose,4,0
Argilo-sableux,6.8,28.1,36.3,0.59,140.0,94.8,23.4,9.0,Moyenne,Nématodose,0,3
Ferrugineux tropicaux,5.9,32.1,31.9,0.31,63.2,152.5,17.2,7.2,Faible,Charcoal Rot,1,1
Graveleux,5.2,34.7,24.7,0.26,127.6,88.7,22.7,15.0,Faible,Charcoal Rot,2,1
Hydromorphes,6.6,28.3,68.7,1.17,108.3,149.5,23.7,9.7,Moyenne,Sclérotiniose,3,4
Argilo-sableux,6.1,30.7,41.8,0.59,107.6,116.8,12.8,11.6,Moyenne,Anthracnose,0,0
Sableux,5.8,37.9,26.9,0.31,63.9,158.8,26.0,6.7,Faible,Sclérotiniose,5,4
Graveleux,5.5,37.9,29.3,0.27,128.7,183.8,14.3,20.2,Faible,Charcoal Rot,2,1
Sableux,5.7,37.8,26.9,0.25,109.5,157.3,26.3,14.7,Faible,Nématodose,5,3
Sableux,6.4,36.2,31.8,0.35,113.8,71.8,30.3,25.9,Faible,Fusariose,5,2
Hydromorphes,6.0,25.2,57.5,1.44,75.5,143.3,38.7,14.9,Élevée,Sclérotiniose,3,4
Hydromorphes,6.1,29.5,65.6,1.0,69.7,132.5,19.4,29.4,Moyenne,Anthracnose,3,0
Ferrugineux tropicaux,5.5,35.7,31.6,0.32,116.3,148.3,11.5,10.7,Faible,Charcoal Rot,1,1
Hydromorphes,6.4,26.4,66.5,1.22,103.5,98.0,23.5,8.5,Moyenne,Sclérotiniose,3,4
Argilo-sableux,6.1,33.5,42.5,0.64,72.0,184.9,38.1,9.9,Moyenne,Anthracnose,0,0
Graveleux,5.6,35.8,19.2,0.1,133.2,74.1,19.6,29.6,Faible,Charcoal Rot,2,1
Hydromorphes,6.1,26.7,55.0,1.45,78.6,79.0,28.9,10.9,Moyenne,Sclérotiniose,3,4
Limoneux,7.3,26.7,51.4,1.08,123.2,93.5,39.4,9.2,Élevée,Nématodose,4,3
Hydromorphes,6.2,25.1,61.7,1.07,145.5,176.3,24.2,19.4,Moyenne,Nématodose,3,3
Graveleux,5.8,38.8,27.8,0.12,112.3,188.5,27.6,13.9,Faible,Sclérotiniose,2,4
Limoneux,6.6,30.2,43.5,1.12,73.1,161.6,19.3,18.1,Moyenne,Sclérotiniose,4,4
