soil_type,pH,potassium,phosphore,azote,humidite,EC,temperature,rainfall,culture_recommandee
Limonneux,6.09,191.3,35.7,0.2,6.2,0.76,26.4,139.8,Maïs
Rocheux,6.22,236.0,33.8,0.047,35.6,1.13,25.0,671.4,Niébé
Salin,7.27,113.6,29.1,0.283,38.6,0.17,29.6,402.9,Arachide
Sableux,6.77,269.7,24.5,0.101,29.0,0.6,40.7,578.2,Arachide
Rocheux,5.77,162.4,17.4,0.18,31.2,1.56,25.6,337.1,Mil
Rocheux,6.77,152.3,11.8,0.213,30.9,1.97,37.5,465.6,Patate douce
Limonneux,5.76,53.9,54.4,0.046,37.5,1.43,37.0,138.6,Gombo
Rocheux,5.78,269.0,22.7,0.276,22.6,0.44,27.2,405.3,Sésame
Sableux,5.99,232.8,45.0,0.261,12.6,1.32,37.4,426.8,Sésame
Rocheux,5.64,294.0,39.7,0.194,6.3,2.0,42.5,517.4,Sorgho
Limonneux,5.82,265.5,23.3,0.175,32.1,1.6,37.0,526.1,Sorgho
Rocheux,5.96,229.9,42.9,0.065,28.4,2.02,43.7,618.7,Sésame
Argileux,5.86,157.2,19.0,0.209,27.9,0.87,42.8,319.0,Patate douce
Limonneux,7.15,247.4,23.1,0.166,5.1,1.78,25.9,121.4,Mil
Argileux,5.59,253.2,44.6,0.277,36.8,0.53,33.1,392.3,Mil
Salin,5.71,83.6,21.0,0.151,20.0,1.43,39.9,489.7,Maïs
Argileux,6.3,51.4,18.7,0.09,6.8,1.85,28.2,146.0,Manioc
Sableux,6.13,203.8,33.4,0.181,33.3,1.69,35.0,321.1,Niébé
Sableux,6.16,271.1,32.4,0.235,33.5,0.12,28.5,470.2,Patate douce
Rocheux,6.7,113.5,26.2,0.196,5.8,1.69,37.9,528.4,Mil
Argileux,5.79,57.2,56.4,0.071,29.4,1.17,36.5,788.1,Manioc
Sableux,7.78,81.9,46.1,0.222,9.7,1.0,28.6,365.0,Riz pluvial
Argileux,5.54,185.0,57.2,0.2,34.6,0.93,27.0,576.5,Niébé
Argileux,6.02,77.1,23.7,0.218,14.6,1.87,42.8,691.6,Arachide
Sableux,7.75,62.5,25.6,0.063,35.0,1.1,39.6,502.6,Sésame
Sableux,5.69,255.1,41.9,0.064,19.6,0.56,43.4,683.7,Gombo
Rocheux,7.78,280.6,44.1,0.103,26.2,2.08,37.8,608.8,Gombo
Argileux,7.75,204.8,47.6,0.124,18.5,2.06,39.9,220.8,Patate douce
Limonneux,7.79,115.1,24.4,0.127,20.9,0.41,39.2,214.8,Gombo
Limonneux,6.39,119.9,24.8,0.174,23.4,2.24,34.5,369.1,Mil
Salin,6.01,74.4,46.4,0.109,38.1,2.21,28.9,371.3,Maïs
Limonneux,7.49,150.2,17.4,0.215,6.5,0.28,42.9,474.6,Manioc
Argileux,7.65,194.5,41.7,0.231,28.6,1.41,41.5,567.6,Riz pluvial
Limonneux,6.31,108.1,6.6,0.133,39.4,1.55,28.9,622.3,Sorgho
Rocheux,7.6,112.3,48.3,0.16,22.4,2.17,40.3,297.3,Niébé
Salin,5.64,129.5,40.2,0.299,13.4,0.16,40.0,449.3,Gombo
Rocheux,6.21,178.3,34.2,0.072,6.1,0.77,44.6,496.6,Sésame
Argileux,7.28,285.1,52.5,0.031,34.2,1.18,29.3,414.6,Patate douce
Rocheux,5.76,212.4,29.8,0.239,5.1,2.38,34.1,336.0,Sorgho
Limonneux,6.31,205.1,42.4,0.245,7.2,0.96,36.6,736.7,Sésame
Rocheux,7.16,241.2,10.8,0.13,32.0,1.66,32.1,635.3,Sésame
Limonneux,7.95,294.2,12.9,0.199,10.0,0.4,33.2,219.2,Sorgho
Argileux,6.69,133.0,41.2,0.186,9.5,1.89,33.2,708.5,Maïs
Argileux,6.78,159.7,55.7,0.102,11.8,0.52,26.2,136.2,Patate douce
Rocheux,7.41,157.6,22.7,0.167,8.9,0.58,39.8,445.6,Riz pluvial
Argileux,6.14,247.6,16.3,0.034,21.9,2.49,37.0,665.1,Niébé
Sableux,7.17,161.5,28.0,0.17,25.5,1.32,38.4,532.9,Manioc
Limonneux,6.2,203.6,22.6,0.184,17.5,0.33,26.8,591.7,Sorgho
Salin,6.1,115.8,27.6,0.039,14.4,1.8,25.6,380.4,Mil
Sableux,6.36,50.9,33.1,0.15,19.0,1.91,35.5,657.7,Niébé
Sableux,6.25,138.8,48.0,0.162,8.3,0.1,25.8,707.3,Maïs
Limonneux,7.08,204.8,34.8,0.1,16.0,0.63,43.9,682.7,Niébé
Rocheux,7.69,194.1,25.5,0.165,34.2,1.95,44.0,137.1,Arachide
Sableux,7.47,173.1,14.4,0.222,16.1,1.72,40.4,531.5,Arachide
Limonneux,6.78,234.5,6.4,0.183,22.1,0.91,44.7,382.6,Sorgho
Limonneux,7.77,151.6,37.1,0.181,29.5,2.47,41.2,790.3,Maïs
Limonneux,7.69,91.2,59.4,0.051,13.2,1.13,39.2,134.4,Sésame
Sableux,6.98,228.9,54.0,0.265,12.9,2.14,34.0,457.4,Sorgho
Sableux,7.25,101.0,20.8,0.113,17.5,1.55,36.4,655.5,Mil
Limonneux,6.28,284.0,36.5,0.248,25.9,1.95,36.6,788.8,Arachide
Sableux,5.89,180.5,25.7,0.214,12.9,2.31,32.2,575.2,Sésame
Salin,7.25,155.2,39.9,0.072,32.9,1.08,43.8,637.9,Mil
Salin,5.53,242.2,23.5,0.103,14.6,0.13,43.4,297.5,Gombo
Sableux,7.78,68.4,38.4,0.056,22.4,2.45,37.6,584.3,Sorgho
Argileux,5.88,197.2,44.3,0.025,35.3,1.59,39.5,778.8,Sésame
Limonneux,5.82,98.4,54.4,0.071,33.8,0.19,28.9,143.9,Niébé
Rocheux,7.43,240.8,10.7,0.236,20.6,1.8,33.8,221.7,Sésame
Limonneux,6.81,210.1,46.8,0.044,37.7,2.45,29.1,412.8,Maïs
Sableux,6.93,116.7,49.4,0.079,12.0,2.44,29.8,791.2,Maïs
Salin,6.52,102.5,31.2,0.109,31.7,1.1,39.5,608.2,Mil
Limonneux,5.72,150.3,49.2,0.209,8.9,0.21,32.3,132.9,Maïs
Argileux,5.59,211.9,30.5,0.184,11.5,2.31,40.4,756.9,Mil
Rocheux,6.85,94.7,37.6,0.125,19.5,1.27,41.2,365.1,Arachide
Salin,7.98,247.6,57.4,0.19,25.2,0.46,39.7,399.3,Manioc
Sableux,7.37,77.2,58.3,0.03,5.7,1.1,33.5,631.0,Riz pluvial
Rocheux,7.16,156.1,58.8,0.156,5.2,0.73,28.2,695.3,Sésame
Rocheux,6.12,277.3,26.4,0.21,25.2,0.57,40.4,777.4,Patate douce
Rocheux,7.73,59.6,24.3,0.208,6.2,0.25,37.0,744.5,Arachide
Limonneux,7.21,253.9,48.2,0.203,16.0,1.07,32.1,504.1,Maïs
Sableux,7.62,249.5,6.4,0.212,25.3,1.83,39.2,584.6,Gombo
Sableux,7.88,230.1,35.9,0.034,22.8,2.29,25.2,526.8,Arachide
Sableux,7.13,92.6,26.5,0.241,13.3,2.26,41.3,445.2,Niébé
Argileux,7.82,55.7,24.9,0.228,11.9,0.79,25.8,784.0,Sésame
Limonneux,7.83,85.6,8.7,0.174,11.3,2.44,44.4,425.6,Patate douce
Argileux,6.56,96.7,29.7,0.135,34.3,2.47,25.0,547.2,Sésame
Limonneux,7.78,249.7,43.6,0.153,11.2,1.79,31.3,442.9,Patate douce
Salin,7.78,162.3,28.3,0.072,24.9,0.86,27.3,264.7,Niébé
Sableux,6.22,169.5,17.9,0.261,14.0,0.79,42.0,732.9,Maïs
Limonneux,7.92,53.8,54.2,0.118,8.2,2.48,37.2,622.6,Gombo
Rocheux,7.14,288.4,48.6,0.168,18.9,1.1,35.4,354.5,Manioc
Sableux,7.38,135.6,54.2,0.254,9.8,0.87,36.9,558.6,Riz pluvial
Limonneux,6.93,197.7,14.0,0.066,8.9,1.16,40.2,529.1,Gombo
Salin,5.56,146.4,15.6,0.224,12.9,1.56,31.1,572.2,Maïs
Salin,6.86,133.5,38.2,0.056,21.6,1.79,37.0,117.2,Niébé
Argileux,6.08,62.8,56.7,0.218,34.3,2.2,30.7,180.2,Mil
Argileux,5.97,195.0,29.1,0.076,10.6,1.16,36.9,588.1,Maïs
Rocheux,6.96,227.2,28.5,0.038,37.7,2.1,33.0,783.7,Manioc
Argileux,7.67,278.2,18.3,0.29,24.9,1.03,29.1,676.8,Mil
Salin,5.8,59.3,16.7,0.255,27.5,1.46,42.4,149.1,Mil
Salin,6.62,164.9,22.4,0.169,32.9,0.88,32.7,629.1,Riz pluvial
Limonneux,6.13,178.5,6.3,0.275,26.6,1.57,40.7,502.2,Maïs
Argileux,6.9,200.6,38.9,0.225,32.8,0.93,36.6,602.2,Sésame
Sableux,7.82,151.6,37.9,0.26,34.3,2.4,30.7,471.6,Niébé
Limonneux,5.8,83.8,22.5,0.217,27.9,1.87,39.1,623.7,Manioc
Limonneux,7.33,238.7,22.0,0.042,14.2,0.23,28.7,580.7,Maïs
Limonneux,7.07,101.8,11.5,0.277,19.9,1.83,37.7,546.0,Mil
Limonneux,7.15,253.9,9.6,0.032,32.6,1.57,37.0,468.3,Manioc
Sableux,7.17,288.0,29.2,0.272,5.6,1.64,33.4,110.8,Sésame
Argileux,7.54,197.5,38.9,0.074,23.4,2.4,32.7,600.8,Riz pluvial
Salin,5.76,225.7,42.8,0.086,29.3,0.63,30.7,269.5,Riz pluvial
Sableux,6.78,239.5,38.7,0.04,9.8,1.76,31.5,709.7,Riz pluvial
Sableux,6.66,254.1,52.6,0.221,22.2,1.65,39.0,162.1,Manioc
Salin,5.74,55.1,55.3,0.15,6.1,1.0,33.7,439.7,Mil
Argileux,7.57,79.7,52.7,0.122,30.7,1.92,31.8,514.4,Maïs
Limonneux,7.69,119.6,19.4,0.249,37.5,0.53,39.3,265.9,Arachide
Argileux,6.39,293.8,53.3,0.237,25.3,2.45,34.0,496.9,Maïs
Argileux,5.81,288.3,45.7,0.152,33.1,0.57,28.3,402.2,Gombo
Salin,7.81,107.9,55.4,0.064,25.2,0.14,36.6,191.5,Mil
Limonneux,5.88,150.3,37.8,0.223,29.4,0.87,28.1,444.8,Maïs
Rocheux,7.15,196.1,55.1,0.265,17.2,1.95,27.5,112.2,Manioc
Limonneux,6.73,279.5,41.0,0.263,22.1,0.21,33.6,445.6,Niébé
Argileux,6.37,65.0,38.7,0.261,33.6,2.1,29.3,244.1,Patate douce
Argileux,6.79,85.4,16.8,0.11,31.2,1.39,26.6,743.5,Sésame
Rocheux,7.08,81.1,24.2,0.142,32.3,1.25,29.6,428.1,Sorgho
Salin,6.39,76.6,44.3,0.103,8.6,0.26,29.7,684.7,Maïs
Limonneux,7.43,180.9,45.2,0.208,39.6,1.71,38.8,138.7,Mil
Sableux,5.85,291.8,6.3,0.1,19.9,0.34,42.1,630.7,Niébé
Rocheux,5.6,158.2,57.0,0.102,5.1,1.28,36.2,373.9,Mil
Rocheux,6.49,286.0,57.6,0.233,21.2,0.57,39.4,311.5,Maïs
Rocheux,7.81,173.3,43.9,0.121,29.9,1.06,44.3,447.2,Maïs
Salin,5.64,69.6,36.1,0.293,15.6,1.12,35.8,518.6,Gombo
Limonneux,5.6,215.5,8.2,0.189,28.0,0.41,39.1,325.5,Maïs
Rocheux,6.23,149.7,20.4,0.275,24.2,2.28,26.3,328.8,Mil
Argileux,5.59,128.4,27.9,0.162,16.0,0.91,38.0,751.8,Patate douce
Rocheux,6.66,119.7,17.7,0.126,33.9,0.38,36.3,446.0,Patate douce
Sableux,6.19,200.1,7.6,0.03,19.4,0.74,37.1,390.6,Manioc
Argileux,6.95,208.4,24.4,0.152,35.2,1.38,39.8,142.0,Niébé
Argileux,6.91,143.7,31.4,0.236,21.8,2.41,38.0,518.1,Niébé
Argileux,6.97,278.0,5.3,0.256,38.6,1.46,39.2,511.2,Sésame
Limonneux,5.68,198.9,42.6,0.136,27.8,0.17,33.2,648.4,Patate douce
Limonneux,7.58,75.9,29.0,0.077,12.7,0.84,26.2,510.0,Sésame
Limonneux,7.47,283.0,42.6,0.097,19.0,2.39,38.6,626.3,Arachide
Sableux,6.91,234.8,38.1,0.095,34.0,2.39,36.9,628.4,Patate douce
Sableux,5.95,168.6,45.0,0.045,22.6,0.43,44.4,781.2,Maïs
Salin,5.54,243.2,59.7,0.082,32.5,1.35,34.6,341.2,Mil
Rocheux,6.35,193.1,29.1,0.129,29.9,0.82,25.7,770.6,Mil
Rocheux,7.45,143.9,29.8,0.167,39.0,0.19,29.7,713.2,Gombo
Sableux,5.79,270.2,44.0,0.036,17.3,0.11,30.1,179.1,Arachide
Limonneux,6.92,92.1,44.2,0.119,7.3,0.98,31.4,382.4,Sorgho
Rocheux,5.96,123.7,28.2,0.247,11.4,0.2,42.8,644.5,Arachide
Limonneux,5.72,170.9,14.1,0.281,12.8,1.83,30.3,215.0,Sorgho
Salin,7.1,215.7,47.8,0.031,25.5,2.24,37.9,172.6,Riz pluvial
Rocheux,6.67,129.6,54.8,0.244,33.9,1.6,38.6,435.6,Manioc
Limonneux,7.4,70.9,14.4,0.245,39.1,0.29,45.0,375.0,Patate douce
Rocheux,6.52,150.8,29.0,0.024,35.7,0.21,41.3,634.6,Arachide
Limonneux,6.09,106.7,28.7,0.088,18.7,1.69,37.8,441.4,Sésame
Limonneux,7.16,212.0,10.9,0.084,17.0,0.56,36.1,477.5,Sésame
Sableux,7.4,60.6,55.4,0.028,21.1,2.06,26.0,429.8,Mil
Sableux,6.53,112.4,11.5,0.115,31.5,0.93,40.5,375.9,Manioc
Salin,7.89,178.0,17.8,0.095,20.5,1.05,41.6,138.5,Riz pluvial
Sableux,6.16,163.6,34.7,0.288,20.5,2.21,29.9,304.8,Manioc
Salin,6.22,202.7,59.7,0.296,8.5,0.62,28.6,532.1,Mil
Salin,6.22,186.4,5.2,0.196,35.7,0.7,38.1,106.8,Gombo
Argileux,6.45,271.8,53.2,0.201,35.9,1.18,39.2,228.5,Niébé
Salin,7.24,258.7,33.6,0.185,38.1,2.3,36.5,265.7,Gombo
Limonneux,6.56,259.1,8.6,0.219,37.4,1.85,45.0,209.6,Patate douce
Argileux,7.56,126.3,14.4,0.102,15.4,0.73,34.0,523.5,Maïs
Argileux,6.52,75.9,9.7,0.213,32.4,0.77,34.0,758.4,Sorgho
Sableux,6.36,289.0,57.0,0.142,21.0,1.96,32.4,316.1,Mil
Salin,6.68,182.5,26.1,0.213,10.9,2.24,35.8,266.1,Manioc
Sableux,7.43,88.2,10.2,0.174,36.5,1.14,44.1,497.9,Maïs
Sableux,6.08,129.4,21.0,0.27,35.7,2.41,30.0,764.6,Maïs
Sableux,7.05,228.0,54.9,0.294,34.1,1.11,43.3,378.5,Mil
Sableux,7.29,157.5,29.2,0.242,13.7,2.3,44.7,214.8,Gombo
Salin,7.62,147.3,41.6,0.073,30.3,1.52,34.9,374.6,Patate douce
Salin,8.0,262.7,31.2,0.275,8.4,1.79,42.1,718.9,Riz pluvial
Limonneux,7.73,98.4,7.3,0.116,32.7,0.44,29.7,317.0,Patate douce
Salin,5.75,251.2,23.4,0.102,19.1,2.3,31.7,406.8,Manioc
Argileux,5.58,261.6,36.5,0.204,33.8,1.68,42.9,445.7,Mil
Sableux,6.8,110.3,43.8,0.057,34.2,0.28,27.5,474.1,Riz pluvial
Sableux,5.72,260.2,9.9,0.036,16.4,0.48,33.5,500.1,Mil
Argileux,5.59,237.1,48.1,0.199,28.6,0.41,32.6,455.5,Manioc
Limonneux,7.74,276.2,58.6,0.036,15.6,1.73,42.4,703.3,Gombo
Rocheux,7.06,263.0,15.8,0.273,23.3,0.3,41.6,375.9,Patate douce
Salin,6.06,188.8,57.8,0.188,31.9,0.68,30.5,574.1,Sésame
Salin,6.47,256.9,30.6,0.072,22.0,1.27,34.4,644.1,Sorgho
Limonneux,6.08,248.7,40.5,0.237,38.7,1.23,30.3,492.0,Manioc
Sableux,6.54,258.3,49.1,0.216,29.1,2.08,34.5,163.5,Patate douce
Argileux,7.56,54.1,52.9,0.197,13.9,2.18,27.4,767.2,Gombo
Rocheux,7.17,197.0,27.3,0.178,28.4,1.33,40.7,799.3,Arachide
Rocheux,7.29,295.0,5.1,0.031,13.8,2.43,42.7,323.7,Riz pluvial
Argileux,7.1,180.1,37.6,0.197,30.4,0.52,43.6,568.1,Maïs
Argileux,7.48,230.8,41.9,0.076,17.0,1.79,30.2,757.6,Sorgho
Salin,5.9,68.8,32.4,0.076,9.5,1.63,29.5,569.2,Arachide
Limonneux,7.42,276.5,35.3,0.129,11.1,1.62,38.0,496.1,Maïs
Sableux,6.24,133.1,41.1,0.268,27.4,1.43,44.6,747.9,Sorgho
Limonneux,7.48,219.3,24.6,0.267,31.4,0.96,36.4,507.1,Arachide
Rocheux,7.6,135.3,51.3,0.161,5.5,1.93,41.2,566.8,Sorgho
Salin,6.71,58.4,23.3,0.126,9.1,0.49,43.5,719.5,Mil
Rocheux,7.72,131.3,14.7,0.199,34.5,2.2,25.6,421.9,Manioc
Sableux,7.53,202.0,56.3,0.091,23.4,2.48,35.1,308.3,Mil
Argileux,6.52,225.9,15.5,0.256,36.3,2.23,31.7,146.1,Sésame
Sableux,5.56,181.1,9.3,0.262,12.1,0.6,27.2,629.6,Sésame
Limonneux,5.8,202.3,37.0,0.172,25.4,0.14,42.3,477.7,Riz pluvial
Salin,5.85,222.1,58.6,0.123,7.7,0.33,35.2,606.2,Mil
Argileux,6.98,156.6,34.5,0.134,17.0,2.37,34.9,111.1,Sorgho
Limonneux,6.96,159.6,59.3,0.066,11.8,2.44,38.3,152.5,Patate douce
Rocheux,6.18,104.5,13.0,0.052,32.4,1.73,35.2,473.2,Sésame
Sableux,6.27,145.9,44.5,0.102,38.2,1.13,42.2,723.1,Niébé
Limonneux,7.67,108.8,40.7,0.084,26.9,2.23,40.1,751.7,Riz pluvial
Limonneux,6.55,142.8,58.4,0.207,31.3,1.77,26.3,220.6,Sésame
Limonneux,7.71,185.3,19.0,0.065,21.2,1.59,31.7,306.8,Arachide
Argileux,6.32,105.5,53.0,0.181,35.9,2.48,39.3,132.8,Sésame
Salin,7.14,200.3,59.8,0.096,32.4,1.43,26.0,130.4,Sésame
Rocheux,6.4,225.8,42.1,0.096,16.4,1.76,37.0,331.1,Riz pluvial
Limonneux,6.82,173.5,57.4,0.199,34.4,0.86,34.7,742.0,Manioc
Rocheux,6.87,270.7,44.6,0.16,10.2,0.17,35.0,224.4,Riz pluvial
Salin,7.37,139.5,10.7,0.128,21.2,2.27,29.0,352.9,Patate douce
Limonneux,7.53,164.7,54.3,0.275,13.2,1.16,26.1,296.4,Sésame
Rocheux,7.71,181.7,32.5,0.179,15.8,1.67,38.0,238.6,Riz pluvial
Rocheux,6.82,265.2,19.0,0.101,34.3,0.68,44.0,625.9,Maïs
Limonneux,7.54,213.1,22.1,0.033,7.1,0.75,44.1,786.5,Riz pluvial
Limonneux,6.59,81.6,45.3,0.252,12.6,2.33,44.4,650.4,Sorgho
Rocheux,7.39,214.4,18.8,0.254,18.5,0.31,36.4,272.2,Sésame
Rocheux,7.91,119.6,9.7,0.142,18.1,2.47,36.4,359.7,Gombo
Rocheux,5.57,221.0,26.0,0.214,10.9,2.05,38.1,242.0,Gombo
Sableux,7.76,291.6,18.6,0.25,24.8,2.34,41.2,503.8,Patate douce
Argileux,6.74,207.9,23.8,0.038,20.4,0.47,44.6,484.9,Maïs
Rocheux,7.82,231.3,56.7,0.27,19.8,1.99,26.1,132.9,Sorgho
Argileux,8.0,82.0,30.7,0.115,38.0,2.09,27.8,261.2,Patate douce
Argileux,7.84,147.9,34.5,0.199,39.6,1.15,26.7,611.0,Sorgho
Argileux,6.23,93.1,17.8,0.186,34.9,2.05,40.4,597.6,Mil
Rocheux,6.86,132.9,51.6,0.034,18.1,0.74,26.6,534.5,Niébé
Salin,5.69,205.9,42.1,0.203,24.8,2.0,26.3,760.0,Sésame
Argileux,7.64,234.6,46.9,0.277,8.9,0.85,28.7,329.1,Arachide
Argileux,7.24,242.2,10.0,0.082,9.5,1.76,26.5,485.1,Patate douce
Sableux,5.63,249.4,40.7,0.189,27.9,0.35,37.9,278.3,Mil
Salin,6.09,106.4,41.2,0.234,33.5,0.85,43.7,557.7,Arachide
Rocheux,7.19,292.5,44.3,0.035,18.0,1.31,28.1,738.2,Arachide
Limonneux,7.67,167.1,47.0,0.164,13.0,1.43,36.3,118.5,Arachide
Rocheux,7.19,132.5,16.0,0.136,16.5,1.93,38.1,553.7,Manioc
Salin,7.84,56.9,12.4,0.049,5.8,1.6,35.1,256.2,Sésame
Argileux,5.93,256.0,21.8,0.3,30.4,1.53,38.5,640.4,Sésame
Argileux,7.92,113.3,34.0,0.034,13.6,0.44,39.9,452.6,Arachide
Argileux,6.47,295.7,46.6,0.169,14.1,1.75,25.6,442.8,Mil
Salin,6.59,126.1,43.9,0.227,18.5,1.28,38.2,230.4,Maïs
Sableux,7.59,267.9,25.4,0.247,25.8,0.43,35.1,574.2,Sésame
Salin,5.94,288.7,58.5,0.025,32.0,1.18,27.3,170.6,Manioc
Salin,6.92,230.4,38.7,0.16,32.5,0.28,35.3,501.2,Niébé
Salin,5.65,180.1,46.0,0.125,24.4,1.98,41.3,134.8,Arachide
Salin,6.36,190.5,38.0,0.123,10.6,0.5,42.0,455.0,Riz pluvial
Salin,7.11,179.7,30.3,0.112,37.3,0.14,39.9,674.2,Sésame
Sableux,5.89,82.3,13.0,0.207,30.8,1.99,32.1,234.2,Sorgho
Argileux,6.74,119.3,8.0,0.035,10.0,1.36,36.6,180.9,Arachide
Salin,6.72,100.6,17.0,0.277,35.3,2.49,35.9,357.3,Patate douce
Sableux,6.75,213.8,47.2,0.139,16.9,0.46,37.2,156.3,Patate douce
Limonneux,6.56,56.2,36.0,0.24,16.1,0.61,38.5,400.6,Sorgho
Salin,6.49,112.5,37.3,0.086,37.8,0.44,38.8,124.6,Arachide
Salin,5.8,131.2,18.9,0.217,24.2,0.16,36.0,553.9,Niébé
Limonneux,7.36,74.7,9.8,0.11,12.0,0.61,31.7,679.7,Maïs
Argileux,5.75,243.5,40.6,0.172,34.4,0.33,34.5,358.0,Riz pluvial
Limonneux,6.83,120.7,40.6,0.158,16.0,2.36,36.4,479.6,Sésame
Argileux,7.82,251.4,56.9,0.223,39.7,1.19,37.3,450.1,Mil
Limonneux,6.36,179.7,56.7,0.052,10.3,1.92,41.3,710.0,Patate douce
Salin,6.19,256.9,48.2,0.3,10.6,0.75,31.7,791.1,Riz pluvial
Limonneux,7.92,169.7,25.4,0.133,35.7,2.47,30.8,229.7,Niébé
Rocheux,5.58,53.1,5.8,0.232,22.7,0.44,30.8,407.8,Niébé
Argileux,7.85,90.7,12.8,0.275,15.8,0.7,33.7,462.6,Riz pluvial
Rocheux,7.61,218.5,14.8,0.07,31.4,1.35,28.0,384.2,Sésame
Limonneux,7.17,86.1,14.2,0.111,34.3,2.0,42.4,139.0,Sésame
Sableux,6.42,70.2,14.2,0.186,6.4,1.98,37.8,257.2,Mil
Salin,6.98,218.5,23.8,0.11,37.9,2.1,42.6,105.6,Gombo
Rocheux,6.49,184.0,45.3,0.131,10.1,1.4,40.8,483.3,Riz pluvial
Salin,7.84,202.8,32.0,0.189,18.0,1.9,37.8,355.7,Niébé
Salin,6.09,236.0,56.1,0.026,14.0,0.22,40.3,183.8,Maïs
Sableux,7.84,254.4,36.2,0.224,5.1,1.26,29.9,230.8,Arachide
Sableux,5.77,50.1,14.2,0.197,12.8,1.96,34.9,423.3,Maïs
Limonneux,5.94,189.2,27.3,0.213,25.5,1.48,35.2,709.3,Arachide
Salin,5.68,180.8,53.7,0.291,37.7,0.66,34.0,124.4,Manioc
Limonneux,7.96,75.8,40.2,0.06,20.2,0.75,38.9,246.9,Mil
Salin,6.96,169.0,58.1,0.118,31.9,0.16,37.8,444.3,Patate douce
Sableux,7.63,189.6,12.0,0.273,20.7,2.42,27.8,694.2,Sésame
Sableux,6.47,279.0,47.9,0.09,34.7,0.28,43.5,528.4,Niébé
Argileux,5.75,187.0,13.0,0.167,23.4,2.39,33.9,553.0,Sésame
Argileux,5.81,85.4,49.2,0.167,6.6,0.86,41.0,602.0,Niébé
Argileux,7.94,279.6,29.3,0.186,34.2,0.45,37.2,741.0,Sésame
Salin,6.97,222.1,59.9,0.162,7.5,0.74,25.5,398.7,Sésame
Sableux,5.84,115.4,41.7,0.25,16.3,1.55,27.8,314.4,Riz pluvial
Argileux,7.15,268.2,21.8,0.229,31.6,1.65,28.8,682.0,Gombo
Rocheux,6.17,222.5,50.7,0.055,12.0,1.08,40.7,356.6,Arachide
Rocheux,5.83,265.5,5.6,0.222,25.4,0.45,27.5,329.2,Gombo
Sableux,7.53,209.8,10.3,0.025,36.2,0.27,36.6,432.6,Arachide
Argileux,6.16,178.0,10.7,0.202,28.2,0.3,41.6,715.3,Maïs
Sableux,5.8,74.8,29.3,0.259,20.7,0.66,30.0,634.4,Mil
Rocheux,7.29,287.3,5.1,0.146,8.3,1.51,36.1,135.1,Riz pluvial
Rocheux,7.67,53.8,12.4,0.286,24.9,0.72,37.0,607.1,Mil
Limonneux,6.06,174.9,10.8,0.226,25.6,1.27,33.8,692.8,Manioc
Rocheux,7.04,141.7,46.5,0.25,36.2,1.11,30.4,635.0,Arachide
Salin,6.93,73.0,43.8,0.099,28.0,1.93,33.5,177.0,Arachide
Rocheux,5.75,237.9,5.6,0.082,5.7,0.62,41.5,671.4,Mil
Argileux,5.51,204.3,13.6,0.219,6.0,0.37,26.9,768.8,Gombo
Salin,6.12,54.0,5.7,0.064,27.1,1.1,39.1,384.2,Riz pluvial
Rocheux,7.82,97.5,17.0,0.093,32.3,0.94,41.8,580.3,Maïs
Sableux,6.86,190.2,10.2,0.146,28.3,1.15,36.3,621.7,Sésame
Rocheux,7.75,261.0,16.0,0.244,10.1,2.01,39.0,563.4,Arachide
Argileux,7.56,51.1,36.7,0.281,21.4,1.05,27.8,635.5,Sorgho
Argileux,6.26,178.2,36.8,0.048,10.2,1.98,44.4,476.2,Arachide
Sableux,7.92,245.8,48.4,0.195,39.8,1.86,36.0,320.6,Patate douce
Rocheux,7.89,183.0,5.2,0.17,9.9,1.49,30.3,204.9,Sorgho
Limonneux,6.87,51.3,8.0,0.275,7.6,0.19,38.3,564.0,Sorgho
Sableux,5.94,162.1,20.8,0.195,7.1,0.8,29.9,589.8,Sorgho
Rocheux,6.51,190.8,6.2,0.153,8.0,0.48,25.5,408.8,Mil
Limonneux,5.84,295.8,45.7,0.052,17.6,0.64,40.1,517.3,Arachide
Argileux,5.57,267.4,30.3,0.078,26.6,2.12,37.1,299.0,Manioc
Argileux,7.17,108.8,9.6,0.226,24.1,0.35,39.7,372.9,Niébé
Sableux,6.74,247.4,39.8,0.16,8.2,0.76,40.0,265.2,Sorgho
Argileux,6.56,111.9,8.7,0.236,29.1,1.82,30.0,596.5,Gombo
Argileux,7.27,99.6,42.9,0.242,29.7,2.14,39.2,643.1,Sésame
Salin,7.4,257.7,43.0,0.22,20.4,2.27,40.8,684.7,Sorgho
Rocheux,6.11,251.5,24.2,0.224,36.8,2.44,40.5,225.1,Sésame
Sableux,6.08,80.2,5.8,0.071,21.1,1.43,31.1,708.4,Patate douce
Rocheux,6.78,70.6,49.4,0.119,37.2,0.69,27.5,759.8,Sésame
Rocheux,7.74,226.0,37.3,0.27,16.0,2.23,39.7,170.3,Gombo
Salin,5.93,81.1,21.0,0.049,36.9,0.76,25.1,692.3,Maïs
Sableux,7.54,195.1,17.1,0.165,32.3,0.63,38.1,793.9,Mil
Salin,7.55,186.8,21.8,0.086,9.9,1.2,39.9,575.4,Sésame
Sableux,7.23,198.0,17.6,0.216,25.0,1.21,32.4,771.6,Arachide
Rocheux,7.27,212.0,30.2,0.294,8.1,1.8,28.5,526.7,Mil
