soil_type,soil_pH,temperature,humidity,organic_carbon,sodium,potassium,nitrogen,phosphorus,Soil_Quality,Disease
Arenosol,5.0,42.3,36.5,0.785,15.9,133.3,0.0202,6.9,1.049,Pythium damping-off
Arenosol,6.19,44.7,29.1,0.832,9.8,109.5,0.0325,12.6,1.293,Root-knot nematodes
Arenosol,5.19,34.1,32.9,0.245,13.4,180.6,0.036,8.8,1.026,Root-knot nematodes
Arenosol,5.98,42.4,12.2,0.869,6.0,90.4,0.0235,12.6,1.267,Fusarium wilt
Regosol,5.87,30.5,34.0,0.877,10.6,140.2,0.0409,6.0,1.276,Pythium damping-off
Plinthosol,6.15,35.4,35.8,0.76,19.1,63.0,0.0367,13.4,1.312,Root-knot nematodes
Regosol,6.29,42.5,32.7,0.634,16.5,137.2,0.0308,6.8,1.136,Fusarium wilt
Arenosol,6.39,34.3,37.2,0.975,19.0,152.0,0.0238,11.1,1.244,Root-knot nematodes
Arenosol,5.97,39.8,34.8,0.323,11.3,130.4,0.0254,12.5,1.113,Fusarium wilt
Arenosol,6.49,35.3,28.3,0.441,14.2,87.1,0.0419,7.5,1.135,Root-knot nematodes
Arenosol,6.04,40.5,26.6,0.23,17.5,82.2,0.0437,14.1,1.215,Root-knot nematodes
Arenosol,6.58,36.4,13.0,0.501,10.7,170.9,0.0304,13.5,1.154,Fusarium wilt
Arenosol,6.48,32.2,38.0,0.926,5.3,140.7,0.0454,3.4,1.248,Charcoal rot
Lixisol,5.86,38.7,39.0,0.296,19.5,74.9,0.0289,9.9,1.08,Fusarium wilt
Lixisol,6.79,36.8,12.4,0.945,19.5,130.2,0.0321,8.3,1.207,Rhizoctonia root rot
Arenosol,6.15,37.2,32.2,0.326,14.5,87.3,0.0263,9.4,1.066,Pythium damping-off
Plinthosol,5.74,39.6,25.4,0.313,7.0,89.4,0.0203,6.4,0.975,Fusarium wilt
Lixisol,5.59,29.1,28.8,0.385,17.4,86.9,0.0428,9.0,1.152,Pythium damping-off
Lixisol,5.73,41.2,16.4,0.9,10.0,125.0,0.0271,12.1,1.268,Root-knot nematodes
Arenosol,5.28,38.7,32.7,0.435,8.2,186.9,0.043,7.1,1.111,Charcoal rot
Regosol,5.25,39.8,38.8,0.489,16.1,176.1,0.0421,13.8,1.209,Charcoal rot
Arenosol,5.82,31.8,17.6,0.53,6.5,162.1,0.0305,10.3,1.162,Fusarium wilt
Regosol,5.48,42.9,18.1,0.974,13.2,125.7,0.048,6.3,1.312,Rhizoctonia root rot
Lixisol,6.74,38.6,15.3,0.751,8.3,173.9,0.0209,9.1,1.098,Fusarium wilt
Arenosol,6.08,37.8,29.2,0.996,16.1,95.2,0.0305,3.0,1.214,Fusarium wilt
Plinthosol,6.5,44.1,13.6,0.726,15.3,141.9,0.0275,5.7,1.11,Root-knot nematodes
Arenosol,5.73,31.2,37.6,0.9,9.2,76.5,0.05,12.9,1.415,Fusarium wilt
Arenosol,5.18,38.1,40.0,0.815,18.6,56.8,0.026,3.4,1.065,Charcoal rot
Arenosol,6.07,41.5,31.6,0.329,6.7,110.8,0.0418,7.3,1.14,Pythium damping-off
Regosol,5.77,32.5,28.4,0.262,7.1,175.4,0.0377,12.3,1.145,Root-knot nematodes
Arenosol,5.2,28.1,36.3,0.841,9.5,98.1,0.036,12.6,1.255,Pythium damping-off
Arenosol,5.58,32.0,32.8,0.225,13.2,123.7,0.0397,8.5,1.077,Rhizoctonia root rot
Arenosol,6.87,30.9,34.8,0.818,17.8,122.1,0.0258,6.1,1.094,Root-knot nematodes
Lixisol,5.9,41.9,14.6,0.995,7.6,75.2,0.0492,11.6,1.437,Pythium damping-off
Lixisol,6.2,31.8,39.3,0.81,6.2,64.5,0.031,4.7,1.171,Root-knot nematodes
Plinthosol,6.06,31.3,14.4,0.896,10.4,75.1,0.0452,10.4,1.373,Pythium damping-off
Arenosol,5.56,40.8,15.7,0.231,5.8,113.4,0.0442,14.8,1.187,Charcoal rot
Arenosol,6.11,38.5,32.7,0.609,7.8,59.0,0.0497,9.9,1.302,Fusarium wilt
Plinthosol,5.74,30.8,31.3,0.66,5.9,160.5,0.0446,9.5,1.266,Pythium damping-off
Lixisol,6.6,36.1,11.8,0.884,16.5,156.8,0.0244,4.4,1.11,Fusarium wilt
Lixisol,6.0,42.3,21.1,0.556,19.3,87.0,0.0384,4.0,1.15,Root-knot nematodes
Arenosol,6.07,41.3,11.7,0.395,13.1,101.7,0.0459,12.5,1.253,Charcoal rot
Arenosol,5.61,34.5,25.9,0.509,18.7,122.7,0.0363,3.5,1.079,Root-knot nematodes
Lixisol,5.12,39.8,25.9,0.269,17.4,191.0,0.0446,7.7,1.064,Pythium damping-off
Regosol,6.93,29.3,30.4,0.264,15.7,115.3,0.0471,14.6,1.163,Pythium damping-off
Regosol,5.0,38.8,28.0,0.252,15.2,69.3,0.0389,3.8,0.96,Charcoal rot
Regosol,5.7,41.6,32.1,0.696,16.1,67.3,0.0375,6.3,1.188,Rhizoctonia root rot
Arenosol,5.58,36.3,15.6,0.506,11.6,170.8,0.0264,11.9,1.126,Pythium damping-off
Arenosol,5.93,36.1,38.3,0.589,15.2,50.1,0.0204,3.8,1.043,Root-knot nematodes
Arenosol,5.69,35.8,15.7,0.494,11.5,147.5,0.033,4.7,1.078,Charcoal rot
Lixisol,5.92,43.3,13.8,0.473,17.9,105.9,0.0443,5.4,1.172,Charcoal rot
Arenosol,5.68,38.9,20.3,0.878,15.2,80.5,0.0398,7.0,1.263,Root-knot nematodes
Lixisol,5.16,33.5,30.4,0.264,12.8,92.8,0.0272,8.5,0.972,Fusarium wilt
Arenosol,5.7,31.6,30.6,0.807,19.3,170.0,0.045,7.3,1.279,Rhizoctonia root rot
Plinthosol,5.83,29.1,33.0,0.954,16.6,97.1,0.0249,3.2,1.161,Pythium damping-off
Vertisol,6.62,38.2,35.1,0.953,19.7,149.8,0.0443,10.4,1.328,Rhizoctonia root rot
Plinthosol,6.6,28.8,10.6,0.902,16.6,118.1,0.0394,5.5,1.221,Rhizoctonia root rot
Lixisol,6.65,38.8,24.9,0.357,10.8,119.0,0.0277,4.2,0.965,Charcoal rot
Arenosol,6.17,39.9,34.7,0.203,16.2,199.9,0.026,3.2,0.943,Charcoal rot
Lixisol,5.74,40.5,31.5,0.888,16.7,58.0,0.0491,11.7,1.391,Root-knot nematodes
Arenosol,5.88,42.7,33.7,0.356,17.0,65.2,0.0346,13.5,1.182,Pythium damping-off
Lixisol,5.87,33.0,23.6,0.529,13.7,135.3,0.039,12.6,1.248,Root-knot nematodes
Arenosol,6.17,36.9,30.3,0.207,14.3,150.3,0.0217,9.0,0.995,Pythium damping-off
Arenosol,5.49,30.0,18.1,0.868,19.9,140.2,0.0295,8.5,1.2,Rhizoctonia root rot
Lixisol,6.37,43.4,23.6,0.702,10.0,177.2,0.0411,6.0,1.2,Pythium damping-off
Lixisol,5.0,31.2,32.2,0.765,16.3,108.5,0.0392,6.0,1.145,Rhizoctonia root rot
Lixisol,6.53,28.5,26.4,0.243,18.2,115.3,0.0248,5.2,0.938,Root-knot nematodes
Plinthosol,6.08,29.5,24.4,0.573,6.2,132.3,0.0285,12.7,1.204,Root-knot nematodes
Arenosol,5.16,37.9,11.0,0.988,16.0,136.9,0.045,5.3,1.253,Rhizoctonia root rot
Arenosol,5.39,30.1,15.2,0.981,15.2,115.5,0.0435,13.4,1.374,Fusarium wilt
Arenosol,6.25,30.0,22.4,0.453,9.6,193.8,0.0215,11.2,1.089,Fusarium wilt
Plinthosol,5.98,29.6,30.6,0.595,18.9,66.2,0.0401,4.3,1.175,Root-knot nematodes
Arenosol,6.49,37.3,27.5,0.562,6.8,111.8,0.0324,9.6,1.143,Root-knot nematodes
Arenosol,6.1,43.0,39.5,0.45,13.5,177.9,0.045,6.2,1.177,Pythium damping-off
Plinthosol,6.66,42.1,22.9,0.987,6.4,63.0,0.0203,14.2,1.242,Root-knot nematodes
Plinthosol,6.26,41.0,22.4,0.794,15.6,172.2,0.0236,12.2,1.216,Rhizoctonia root rot
Vertisol,5.23,34.6,37.3,0.532,16.2,163.1,0.0211,11.1,1.057,Fusarium wilt
Lixisol,5.36,40.3,29.8,0.854,14.9,79.2,0.0243,6.4,1.123,Pythium damping-off
Arenosol,5.47,30.2,35.8,0.277,12.2,74.4,0.0452,14.7,1.198,Charcoal rot
Plinthosol,5.5,42.2,21.9,0.623,17.1,139.5,0.0295,3.3,1.058,Rhizoctonia root rot
Arenosol,6.33,41.0,36.7,0.633,14.6,86.7,0.0481,5.4,1.218,Root-knot nematodes
Arenosol,6.55,31.9,36.5,0.363,15.7,133.3,0.0484,10.8,1.188,Pythium damping-off
Arenosol,6.69,30.5,36.1,0.379,13.5,153.7,0.0323,10.0,1.071,Root-knot nematodes
Plinthosol,5.65,29.2,13.8,0.725,16.1,67.3,0.0331,5.3,1.152,Rhizoctonia root rot
Arenosol,5.31,44.5,33.6,0.769,17.4,79.5,0.0473,10.6,1.287,Fusarium wilt
Lixisol,5.72,42.5,28.3,0.972,6.9,60.6,0.035,12.4,1.34,Fusarium wilt
Vertisol,5.0,31.2,25.9,0.897,8.2,146.3,0.0271,6.8,1.122,Fusarium wilt
Arenosol,6.14,31.2,10.8,0.312,11.7,116.7,0.0287,7.8,1.056,Rhizoctonia root rot
Arenosol,5.85,33.7,29.9,0.407,18.8,94.9,0.0219,6.9,1.03,Root-knot nematodes
Regosol,6.35,37.4,29.4,0.262,7.1,163.6,0.0415,4.6,1.053,Root-knot nematodes
Arenosol,5.89,30.3,24.9,0.862,17.3,57.0,0.0455,4.7,1.283,Fusarium wilt
Plinthosol,6.36,33.8,13.9,0.948,8.9,100.0,0.0234,9.5,1.215,Pythium damping-off
Lixisol,6.81,37.6,38.5,0.873,18.8,126.8,0.0305,11.3,1.215,Pythium damping-off
Vertisol,5.62,38.1,17.8,0.714,13.5,158.3,0.0279,5.4,1.117,Charcoal rot
Lixisol,5.88,39.6,11.5,0.713,14.8,146.6,0.0426,14.3,1.349,Fusarium wilt
Arenosol,5.83,39.4,26.6,0.562,6.3,55.6,0.0327,12.9,1.219,Fusarium wilt
Lixisol,5.47,28.3,30.6,0.898,15.1,78.4,0.0474,4.9,1.267,Root-knot nematodes
Arenosol,6.02,38.1,31.7,0.621,8.5,52.5,0.0381,6.9,1.205,Root-knot nematodes
Arenosol,5.85,34.7,23.3,0.697,10.6,180.8,0.0487,10.6,1.327,Root-knot nematodes
Regosol,7.0,37.7,38.3,0.839,11.5,175.6,0.0288,9.9,1.157,Root-knot nematodes
Plinthosol,5.76,43.7,15.8,0.521,8.7,124.2,0.0471,7.3,1.212,Root-knot nematodes
Lixisol,6.35,39.3,32.9,0.267,6.9,106.8,0.0467,11.6,1.18,Fusarium wilt
Vertisol,6.32,38.2,18.1,0.766,15.0,96.2,0.0324,11.6,1.247,Charcoal rot
Arenosol,5.62,32.0,27.2,0.794,17.5,87.1,0.0256,8.4,1.165,Pythium damping-off
Plinthosol,6.08,39.4,35.8,0.726,13.4,162.2,0.0326,5.6,1.181,Pythium damping-off
Arenosol,5.88,40.9,30.2,0.551,10.9,147.1,0.0436,5.9,1.194,Fusarium wilt
Regosol,5.41,36.9,23.0,0.909,7.7,186.8,0.0215,7.5,1.142,Fusarium wilt
Arenosol,5.46,37.6,35.2,0.991,16.7,97.0,0.0271,11.4,1.259,Pythium damping-off
Arenosol,5.78,34.0,38.6,0.393,7.6,97.6,0.03,14.3,1.167,Root-knot nematodes
Arenosol,5.98,34.9,30.7,0.43,16.9,63.4,0.0417,11.7,1.234,Pythium damping-off
Vertisol,6.6,36.9,24.0,0.982,18.4,199.4,0.0215,4.5,1.123,Root-knot nematodes
Arenosol,5.72,38.4,19.4,0.543,16.2,185.8,0.0412,9.4,1.208,Rhizoctonia root rot
Plinthosol,5.95,43.6,33.8,0.439,8.7,127.0,0.031,13.5,1.192,Root-knot nematodes
Lixisol,6.4,42.0,17.8,0.879,14.8,56.7,0.0391,5.7,1.235,Root-knot nematodes
Plinthosol,6.4,41.6,33.0,0.228,17.1,163.2,0.0274,14.9,1.091,Charcoal rot
Arenosol,5.9,34.9,15.8,0.342,14.2,175.8,0.0434,12.4,1.219,Fusarium wilt
Arenosol,6.93,35.0,21.1,0.5,15.7,124.4,0.0314,3.3,0.989,Root-knot nematodes
Regosol,6.38,44.7,17.2,0.546,12.5,102.1,0.0294,8.7,1.119,Root-knot nematodes
Arenosol,6.29,39.1,17.1,0.595,19.8,134.6,0.0413,7.2,1.193,Rhizoctonia root rot
Lixisol,5.0,35.3,24.0,0.567,13.4,166.4,0.0436,7.3,1.129,Fusarium wilt
Arenosol,5.67,29.1,34.7,0.848,14.3,85.4,0.0318,14.9,1.311,Pythium damping-off
Regosol,5.67,38.6,14.1,0.699,18.6,155.8,0.0477,12.3,1.327,Rhizoctonia root rot
Arenosol,6.51,36.5,36.8,0.763,6.3,102.1,0.0388,12.1,1.271,Charcoal rot
Arenosol,6.39,38.8,21.0,0.788,13.0,151.1,0.0247,11.9,1.205,Pythium damping-off
Arenosol,6.4,30.2,24.1,0.634,19.3,91.7,0.0222,9.4,1.108,Fusarium wilt
Arenosol,5.33,38.5,32.0,0.45,13.6,143.4,0.0332,9.0,1.088,Rhizoctonia root rot
Regosol,5.9,40.6,28.4,0.984,6.7,159.1,0.0377,6.3,1.295,Pythium damping-off
Arenosol,6.6,34.7,39.3,0.831,10.1,162.2,0.0384,4.0,1.172,Root-knot nematodes
Arenosol,5.68,33.2,39.1,0.98,9.9,70.3,0.0371,6.5,1.271,Root-knot nematodes
Plinthosol,7.0,31.8,20.0,0.865,13.2,167.4,0.0263,7.9,1.123,Root-knot nematodes
Regosol,6.54,43.0,39.0,0.669,10.5,62.8,0.0415,8.1,1.203,Fusarium wilt
Lixisol,5.62,31.2,14.0,0.664,10.4,110.4,0.0442,14.3,1.317,Rhizoctonia root rot
Plinthosol,6.22,32.9,12.9,0.712,16.9,145.0,0.0487,11.8,1.342,Fusarium wilt
Arenosol,5.79,28.4,14.4,0.519,14.6,71.3,0.0253,9.3,1.111,Fusarium wilt
Lixisol,6.26,33.8,15.1,0.762,6.5,157.5,0.0313,12.1,1.251,Fusarium wilt
Lixisol,5.35,36.2,21.0,0.694,11.3,77.7,0.0302,12.6,1.193,Fusarium wilt
Arenosol,5.36,45.0,19.5,0.47,18.3,118.6,0.0262,3.7,0.983,Fusarium wilt
Lixisol,6.03,32.2,39.9,0.596,5.1,193.5,0.0282,14.1,1.234,Pythium damping-off
Arenosol,5.45,43.9,27.1,0.351,7.3,70.1,0.0362,3.2,1.01,Charcoal rot
Lixisol,6.12,30.0,35.7,0.67,12.4,104.7,0.0214,7.3,1.115,Fusarium wilt
Vertisol,6.06,30.1,24.2,0.414,19.2,134.1,0.0203,7.0,1.034,Root-knot nematodes
Lixisol,6.19,31.0,29.2,0.696,19.1,167.7,0.0423,3.2,1.187,Root-knot nematodes
Arenosol,5.41,37.6,25.2,0.996,11.2,103.3,0.0259,4.0,1.148,Fusarium wilt
Arenosol,6.11,43.8,27.1,0.267,19.2,139.8,0.0471,5.6,1.126,Charcoal rot
Arenosol,6.68,37.6,13.6,0.847,16.3,113.4,0.0326,13.3,1.259,Fusarium wilt
Arenosol,6.38,39.3,12.8,0.676,13.0,128.3,0.0297,10.8,1.187,Rhizoctonia root rot
Arenosol,5.0,37.3,11.6,0.357,14.0,103.5,0.0455,5.3,1.05,Charcoal rot
Arenosol,6.06,34.7,26.9,0.556,8.4,64.7,0.0458,12.1,1.297,Root-knot nematodes
Arenosol,6.11,30.8,12.1,0.904,14.8,196.7,0.0445,10.3,1.364,Rhizoctonia root rot
Lixisol,6.35,28.6,19.7,0.372,17.4,190.9,0.0266,13.0,1.109,Pythium damping-off
Arenosol,6.56,42.6,16.0,0.293,12.0,176.8,0.045,13.2,1.178,Fusarium wilt
Arenosol,5.67,28.3,30.3,0.867,8.0,139.2,0.0442,4.2,1.248,Root-knot nematodes
Arenosol,6.6,39.2,33.4,0.93,16.4,133.3,0.0279,3.3,1.131,Fusarium wilt
Arenosol,6.3,42.5,36.4,0.325,15.4,141.8,0.0357,8.7,1.097,Charcoal rot
Arenosol,6.2,34.0,11.9,0.962,8.6,128.5,0.0333,13.0,1.343,Rhizoctonia root rot
Arenosol,5.86,41.8,35.3,0.859,14.2,194.8,0.0492,9.4,1.364,Fusarium wilt
Lixisol,5.0,30.8,19.3,0.432,18.2,117.6,0.0457,5.4,1.076,Fusarium wilt
Arenosol,5.98,33.2,24.1,0.731,11.6,76.8,0.0325,12.8,1.283,Charcoal rot
Arenosol,6.46,32.8,10.8,0.543,17.8,80.5,0.0373,7.1,1.135,Rhizoctonia root rot
Arenosol,5.42,36.0,19.7,0.426,11.2,64.3,0.0256,8.5,1.037,Charcoal rot
Arenosol,5.93,34.6,37.9,0.991,9.8,166.3,0.0374,8.2,1.323,Root-knot nematodes
Arenosol,5.9,31.5,36.7,0.224,7.8,159.6,0.0308,9.3,1.066,Root-knot nematodes
Regosol,5.96,42.7,19.2,0.313,19.6,76.1,0.0308,9.1,1.096,Charcoal rot
Arenosol,5.93,42.1,39.3,0.49,18.1,74.7,0.0222,3.9,1.026,Pythium damping-off
Regosol,5.86,42.2,37.5,0.241,6.1,68.0,0.0212,9.1,1.006,Charcoal rot
Arenosol,6.13,37.9,38.1,0.243,9.4,147.7,0.0451,5.9,1.109,Pythium damping-off
Regosol,6.32,29.5,35.1,0.916,6.3,88.3,0.0391,7.4,1.276,Pythium damping-off
Arenosol,6.42,42.4,21.8,0.673,14.6,64.6,0.0418,8.9,1.23,Root-knot nematodes
Regosol,5.47,32.6,12.8,0.615,14.7,98.3,0.0233,11.9,1.13,Rhizoctonia root rot
Lixisol,5.79,33.7,16.4,0.625,19.1,65.1,0.0412,10.7,1.256,Rhizoctonia root rot
Lixisol,6.05,30.8,35.3,0.213,14.6,150.3,0.0456,12.4,1.197,Fusarium wilt
Arenosol,6.04,31.6,24.9,0.571,13.4,113.2,0.0294,5.2,1.113,Fusarium wilt
Lixisol,5.06,38.5,25.7,0.681,6.6,63.9,0.0416,6.4,1.145,Fusarium wilt
Lixisol,6.04,41.5,22.3,0.593,14.9,180.0,0.0473,9.1,1.279,Fusarium wilt
Arenosol,5.62,40.6,12.3,0.829,10.1,112.3,0.0431,10.5,1.309,Charcoal rot
Lixisol,5.54,44.8,12.9,0.422,13.2,96.0,0.0242,13.1,1.101,Rhizoctonia root rot
Lixisol,5.67,42.8,23.5,0.371,17.0,119.6,0.0357,5.2,1.062,Charcoal rot
Arenosol,6.28,31.4,10.7,0.966,10.2,102.9,0.0217,13.7,1.275,Fusarium wilt
Arenosol,5.28,44.4,36.2,0.702,14.6,73.4,0.0309,4.1,1.079,Pythium damping-off
Arenosol,6.31,44.1,31.7,0.63,19.8,170.6,0.0332,7.6,1.158,Root-knot nematodes
Lixisol,6.89,30.7,25.5,0.854,8.5,53.8,0.0311,4.2,1.109,Root-knot nematodes
Arenosol,6.09,31.4,39.9,0.55,11.1,140.3,0.0493,14.1,1.34,Fusarium wilt
Plinthosol,6.03,30.5,36.2,0.358,19.4,116.7,0.0475,15.0,1.289,Pythium damping-off
Lixisol,6.46,39.0,23.6,0.289,11.6,167.3,0.0275,7.3,1.003,Rhizoctonia root rot
Arenosol,5.78,38.0,23.8,0.251,11.0,137.9,0.0437,7.2,1.112,Root-knot nematodes
Plinthosol,5.38,42.6,28.6,0.462,17.0,170.4,0.0283,5.1,1.014,Root-knot nematodes
Lixisol,6.03,30.6,32.1,0.36,13.3,198.9,0.0212,14.7,1.128,Charcoal rot
Lixisol,5.59,39.3,28.1,0.22,14.9,116.1,0.0266,5.7,0.96,Root-knot nematodes
Arenosol,7.0,32.9,15.9,0.752,10.0,72.3,0.0221,9.7,1.088,Root-knot nematodes
Arenosol,5.74,31.1,12.3,0.78,8.4,110.1,0.0273,10.4,1.211,Pythium damping-off
Arenosol,5.92,39.5,17.0,0.293,19.5,110.6,0.0343,8.7,1.102,Charcoal rot
Arenosol,6.21,38.2,23.3,0.522,7.0,96.1,0.0229,9.9,1.105,Rhizoctonia root rot
Arenosol,5.39,34.7,12.7,0.828,10.8,85.6,0.0417,12.1,1.299,Fusarium wilt
Plinthosol,6.5,38.6,21.8,0.662,6.2,55.0,0.0384,5.9,1.157,Root-knot nematodes
Arenosol,6.23,40.2,33.1,0.994,5.0,175.3,0.0484,11.5,1.419,Rhizoctonia root rot
Vertisol,5.71,34.2,23.1,0.909,7.7,56.5,0.0263,5.9,1.181,Root-knot nematodes
Lixisol,6.1,36.8,24.5,0.956,16.9,168.8,0.0202,3.1,1.139,Root-knot nematodes
Plinthosol,5.59,39.7,30.2,0.382,14.6,195.9,0.0497,4.1,1.127,Charcoal rot
Vertisol,5.49,42.3,23.8,0.972,7.4,51.0,0.034,8.5,1.258,Fusarium wilt
Plinthosol,6.22,42.6,30.0,0.791,14.5,195.7,0.0303,13.2,1.272,Fusarium wilt
Plinthosol,7.0,38.2,35.6,0.738,16.4,167.8,0.0403,12.4,1.229,Pythium damping-off
Arenosol,5.8,33.0,21.7,0.506,13.5,138.6,0.0252,5.8,1.061,Root-knot nematodes
Lixisol,7.0,44.1,23.1,0.696,8.3,53.4,0.0415,6.2,1.141,Root-knot nematodes
Arenosol,7.0,44.8,17.5,0.331,16.7,81.7,0.0249,12.3,1.012,Rhizoctonia root rot
Arenosol,6.05,36.9,10.2,0.361,6.2,137.0,0.0272,12.5,1.134,Charcoal rot
Arenosol,6.18,30.1,14.9,0.844,14.7,72.1,0.029,9.5,1.237,Rhizoctonia root rot
Vertisol,6.5,41.6,12.9,0.476,17.3,85.5,0.021,8.5,1.031,Fusarium wilt
Arenosol,5.0,36.2,10.9,0.506,7.5,143.8,0.0239,9.9,1.028,Fusarium wilt
Regosol,5.45,44.1,32.2,0.449,8.1,65.1,0.0471,4.5,1.123,Pythium damping-off
Arenosol,6.57,38.6,22.8,0.557,8.7,176.7,0.0442,11.4,1.228,Root-knot nematodes
Arenosol,5.92,35.6,14.2,0.982,17.0,112.1,0.0325,13.7,1.363,Fusarium wilt
Vertisol,6.18,38.0,38.5,0.2,9.0,126.8,0.0403,7.2,1.08,Charcoal rot
Arenosol,6.26,29.1,24.7,0.31,8.4,122.7,0.0273,4.5,0.991,Root-knot nematodes
Lixisol,6.7,29.4,18.2,0.489,16.7,64.8,0.029,13.5,1.131,Root-knot nematodes
Lixisol,5.69,34.9,31.2,0.721,8.5,112.4,0.049,6.3,1.263,Pythium damping-off
Arenosol,6.57,30.1,15.9,0.489,18.4,131.8,0.0409,14.0,1.222,Fusarium wilt
Arenosol,5.66,39.4,25.6,0.748,17.0,138.5,0.0387,5.8,1.2,Pythium damping-off
Arenosol,5.93,30.0,26.2,0.784,12.2,173.9,0.0382,8.6,1.272,Rhizoctonia root rot
Arenosol,6.02,35.0,13.8,0.241,8.4,148.4,0.0358,5.4,1.057,Rhizoctonia root rot
Plinthosol,6.09,43.2,22.2,0.969,14.3,79.1,0.0216,13.3,1.289,Root-knot nematodes
Arenosol,6.21,41.2,39.6,0.837,15.0,173.4,0.0279,9.7,1.227,Root-knot nematodes
Arenosol,5.83,29.0,34.0,0.421,13.0,192.9,0.0306,8.5,1.106,Charcoal rot
Plinthosol,6.04,33.4,30.0,0.552,6.8,52.1,0.0371,8.9,1.202,Rhizoctonia root rot
Arenosol,6.24,34.3,24.5,0.874,15.4,153.6,0.0434,3.4,1.243,Rhizoctonia root rot
Lixisol,6.31,43.6,27.6,0.974,18.5,184.1,0.0412,13.5,1.389,Root-knot nematodes
Regosol,5.82,32.7,32.4,0.944,19.8,176.5,0.0452,6.5,1.323,Pythium damping-off
Vertisol,6.14,30.9,29.8,0.378,7.1,127.8,0.0392,4.8,1.099,Fusarium wilt
Plinthosol,6.62,34.9,10.3,0.516,9.4,83.2,0.0341,14.7,1.193,Rhizoctonia root rot
Arenosol,6.1,34.4,27.3,0.526,9.0,194.8,0.0434,9.3,1.232,Rhizoctonia root rot
Arenosol,6.61,30.6,37.1,0.934,7.6,127.3,0.024,13.9,1.249,Root-knot nematodes
Vertisol,5.9,44.9,22.1,0.494,8.0,138.2,0.0223,3.1,1.014,Fusarium wilt
Vertisol,5.66,40.2,15.2,0.394,8.6,92.3,0.0257,9.1,1.059,Charcoal rot
Arenosol,5.05,41.8,34.9,0.33,7.8,78.7,0.0264,9.0,0.982,Root-knot nematodes
Arenosol,6.13,34.4,27.4,0.477,5.9,134.2,0.0247,7.3,1.075,Fusarium wilt
Arenosol,5.15,39.9,35.7,0.717,14.3,87.8,0.0407,14.1,1.262,Rhizoctonia root rot
Plinthosol,6.07,36.2,31.5,0.218,10.2,103.0,0.0321,6.6,1.039,Root-knot nematodes
Plinthosol,5.25,44.8,23.6,0.564,15.4,129.8,0.0205,7.2,1.013,Root-knot nematodes
Arenosol,5.45,36.2,16.7,0.239,17.9,91.3,0.0395,7.5,1.053,Rhizoctonia root rot
Arenosol,6.47,41.5,24.6,0.212,10.0,122.2,0.049,13.3,1.188,Charcoal rot
Plinthosol,5.54,41.0,24.9,0.216,17.1,166.6,0.0237,6.9,0.953,Fusarium wilt
Arenosol,6.46,35.6,28.5,0.778,11.0,129.1,0.022,7.9,1.125,Root-knot nematodes
Arenosol,6.66,43.6,14.7,0.811,16.5,64.4,0.0245,14.7,1.221,Fusarium wilt
Arenosol,6.29,44.3,18.8,0.665,16.2,153.1,0.0397,12.9,1.28,Rhizoctonia root rot
Plinthosol,6.06,43.4,17.7,0.438,11.7,195.0,0.0426,13.7,1.264,Charcoal rot
Arenosol,6.39,32.9,30.8,0.908,18.9,199.5,0.0396,10.4,1.309,Pythium damping-off
Arenosol,6.64,29.1,21.0,0.685,13.1,92.1,0.0493,10.5,1.278,Pythium damping-off
Arenosol,5.99,40.3,28.7,0.984,19.4,99.2,0.0259,3.0,1.19,Root-knot nematodes
Lixisol,5.8,35.7,18.9,0.88,18.8,114.0,0.0368,7.3,1.263,Rhizoctonia root rot
Arenosol,5.78,43.6,29.9,0.876,5.3,150.0,0.0335,11.7,1.298,Pythium damping-off
Arenosol,6.75,41.1,23.4,0.384,5.1,85.4,0.0367,8.4,1.073,Root-knot nematodes
Plinthosol,6.47,29.7,18.2,0.824,12.0,132.4,0.042,11.9,1.312,Fusarium wilt
Arenosol,5.15,30.6,27.8,0.479,12.1,190.8,0.0484,10.9,1.195,Root-knot nematodes
Regosol,6.11,41.5,34.5,0.833,17.8,179.9,0.0302,10.0,1.253,Root-knot nematodes
Arenosol,5.89,31.1,29.1,0.206,10.8,128.9,0.0218,14.6,1.076,Root-knot nematodes
Arenosol,6.3,30.4,18.5,0.58,8.8,163.1,0.0386,12.3,1.24,Pythium damping-off
Vertisol,6.77,38.5,12.3,0.324,6.4,160.6,0.0301,14.1,1.089,Fusarium wilt
Plinthosol,5.5,30.4,25.2,0.217,13.8,179.1,0.0361,14.9,1.13,Pythium damping-off
Arenosol,5.01,36.1,33.8,0.825,10.0,164.9,0.0201,11.0,1.115,Rhizoctonia root rot
Regosol,5.76,42.9,38.8,0.441,6.1,164.7,0.0304,4.6,1.052,Rhizoctonia root rot
Lixisol,6.73,35.3,19.0,0.473,17.7,134.9,0.0427,13.0,1.198,Rhizoctonia root rot
Arenosol,5.62,31.8,23.7,0.953,10.2,112.2,0.0461,8.8,1.342,Rhizoctonia root rot
Lixisol,5.08,28.1,37.9,0.631,13.4,177.6,0.0317,7.4,1.085,Root-knot nematodes
Lixisol,6.01,42.0,29.0,0.691,8.2,132.6,0.0324,6.4,1.187,Pythium damping-off
Arenosol,5.0,44.6,23.0,0.933,7.7,119.2,0.0435,3.1,1.182,Fusarium wilt
Vertisol,5.85,38.8,17.2,0.766,8.9,72.8,0.0446,5.7,1.259,Fusarium wilt
