pH,N,P,K,humidite,texture_du_sol,culture
7.19,25.93,16.61,80.52,20.46,sablo-argileux,niebe
6.06,33.7,20.55,89.23,21.63,sableux,niebe
6.04,22.8,27.86,91.68,14.54,sableux,mil
6.56,48.9,12.17,93.65,13.9,sablo-argileux,niebe
6.28,43.2,20.47,146.07,44.74,limoneux,riz
7.07,32.69,11.48,92.13,16.42,sablo-argileux,niebe
6.64,33.88,28.06,84.18,33.35,sablo-argileux,sorgho
6.73,44.97,18.23,118.26,23.22,limono-argileux,sorgho
6.59,38.15,22.05,111.23,19.89,limono-argileux,sorgho
6.45,38.74,16.15,99.61,16.42,sableux,niebe
6.42,39.89,13.75,96.02,22.05,sablo-argileux,niebe
6.95,47.96,21.28,86.96,18.62,sablo-argileux,sorgho
5.52,36.18,12.39,115.15,10.41,sableux,mil
6.9,23.06,17.15,78.46,18.79,sablo-argileux,niebe
5.72,31.82,20.92,82.74,10.52,sablo-argileux,mil
5.62,33.82,14.27,118.38,19.41,sablo-argileux,mil
7.44,32.87,35.3,84.59,32.16,limono-argileux,sorgho
7.44,45.76,35.97,101.32,26.62,limono-argileux,sorgho
6.86,46.06,15.56,95.77,21.15,sablo-argileux,sorgho
5.48,41.79,28.1,147.81,67.6,limoneux,riz
6.34,35.89,23.02,43.19,16.35,sableux,arachide
6.87,28.05,13.73,94.39,24.44,sableux,mil
6.15,34.75,12.64,71.73,16.04,sableux,niebe
5.93,73.83,27.72,68.38,58.94,limoneux,riz
6.85,35.72,32.58,67.65,17.46,limono-argileux,sorgho
5.84,70.35,29.33,122.24,44.08,limoneux,riz
6.28,31.16,23.45,41.85,15.43,sablo-limoneux,arachide
6.36,29.3,20.52,62.78,28.89,sableux,mil
6.14,30.23,11.81,57.97,16.96,sablo-argileux,mil
6.73,23.47,29.77,67.15,28.24,sableux,mil
6.32,45.8,16.83,68.46,18.59,limono-argileux,sorgho
6.21,25.34,13.76,84.26,21.19,sableux,niebe
6.22,21.41,15.54,84.4,21.83,sablo-limoneux,arachide
5.9,36.84,17.52,79.15,23.35,sableux,arachide
6.01,48.3,26.82,101.78,34.49,limono-argileux,sorgho
6.82,25.85,13.89,87.32,20.9,sableux,niebe
6.15,48.64,18.39,112.63,24.57,sablo-argileux,sorgho
5.6,70.04,29.6,97.94,47.24,limoneux,riz
6.33,51.93,23.84,77.07,18.0,sablo-argileux,sorgho
6.46,26.76,21.52,47.74,16.18,sablo-limoneux,arachide
6.07,42.75,28.41,109.58,25.35,sablo-argileux,mil
6.65,26.45,22.09,62.08,19.0,sableux,mil
5.81,28.64,29.37,106.54,23.76,sablo-argileux,mil
6.83,46.99,13.33,81.72,12.86,sableux,niebe
6.23,22.63,21.94,54.97,18.78,sableux,niebe
6.94,30.22,21.59,115.15,23.66,sablo-argileux,mil
6.0,21.32,28.75,43.08,14.44,sableux,arachide
6.98,48.26,22.11,111.26,21.43,sablo-argileux,mil
6.63,20.04,21.9,68.96,15.34,sableux,arachide
5.65,74.97,20.53,127.49,68.86,limoneux,riz
6.38,21.33,21.3,93.6,12.64,sablo-argileux,niebe
5.59,37.34,23.95,89.29,14.66,sableux,arachide
6.5,25.12,20.0,76.8,11.25,sableux,mil
6.59,31.18,18.99,66.09,17.7,sablo-limoneux,arachide
5.62,26.85,24.34,40.65,17.54,sableux,arachide
5.79,33.73,24.17,86.69,19.33,sablo-argileux,mil
6.91,37.23,21.25,62.03,16.43,sablo-limoneux,arachide
5.58,32.96,11.8,94.98,11.22,sableux,mil
6.26,47.69,22.03,114.84,56.59,argileux,riz
6.63,25.73,15.74,68.89,16.01,sableux,niebe
6.69,39.94,15.41,84.93,18.03,limono-argileux,sorgho
6.01,20.51,22.44,57.46,21.74,sablo-argileux,niebe
7.19,49.9,20.19,96.07,16.39,sablo-argileux,niebe
6.84,36.85,31.65,40.23,23.72,sableux,arachide
6.72,22.63,24.84,77.14,10.61,sablo-argileux,mil
5.86,48.51,16.17,59.62,11.52,sablo-argileux,mil
6.79,25.61,19.18,54.76,28.38,sablo-argileux,mil
7.39,42.41,15.76,78.42,25.11,sablo-argileux,sorgho
6.47,35.73,29.69,113.06,29.8,sablo-argileux,sorgho
6.09,59.34,26.94,71.59,31.84,sablo-argileux,sorgho
5.55,37.63,18.38,102.91,11.4,sablo-argileux,mil
6.86,48.24,15.39,78.88,17.67,sableux,niebe
6.52,28.06,18.23,56.94,18.31,sablo-argileux,niebe
6.19,23.76,16.53,73.1,23.07,sableux,arachide
6.63,42.41,22.74,99.11,11.79,sablo-argileux,mil
5.64,66.74,46.36,132.58,40.19,limoneux,riz
7.11,23.29,14.11,71.82,16.96,sableux,niebe
6.29,45.72,18.79,82.35,16.46,sableux,niebe
5.85,42.47,23.56,60.34,10.53,sableux,mil
6.48,49.33,23.86,121.72,30.56,limono-argileux,sorgho
5.92,49.55,16.95,114.69,17.24,limono-argileux,sorgho
5.88,43.89,28.66,62.05,14.43,sableux,mil
7.14,49.19,14.41,83.03,20.47,sableux,niebe
5.75,35.13,15.67,56.15,21.63,sableux,arachide
5.59,37.35,18.33,40.81,17.86,sablo-limoneux,arachide
6.62,22.66,15.85,88.2,13.72,sableux,niebe
6.61,40.45,12.85,53.04,21.95,sablo-argileux,niebe
7.36,32.63,36.69,125.05,33.14,limono-argileux,sorgho
6.0,54.48,24.17,81.93,25.03,sablo-argileux,sorgho
6.45,22.73,17.19,99.34,15.74,sablo-argileux,mil
5.63,31.37,32.72,82.9,14.78,sableux,arachide
5.02,54.61,42.06,130.85,64.61,argileux,riz
6.41,29.39,25.57,88.51,19.56,sableux,arachide
6.54,30.53,17.11,48.38,23.09,sablo-limoneux,arachide
6.89,29.76,28.57,70.54,21.54,sablo-argileux,mil
6.84,38.16,20.59,89.34,20.09,sablo-argileux,sorgho
6.55,30.88,15.02,51.85,20.69,sableux,mil
6.74,45.82,21.68,64.94,22.86,sableux,mil
6.3,24.51,19.38,89.77,15.46,sableux,mil
6.47,40.15,13.0,64.33,16.01,sablo-argileux,niebe
5.6,34.78,25.84,116.55,15.44,sablo-argileux,mil
6.22,51.05,27.6,117.98,24.24,sablo-argileux,sorgho
6.7,44.83,24.39,52.54,21.59,sableux,niebe
6.38,35.7,13.85,52.37,20.03,sableux,niebe
6.72,34.41,24.39,81.47,19.2,sableux,arachide
6.45,35.09,36.82,115.77,28.01,sablo-argileux,sorgho
7.41,44.18,33.1,98.17,19.66,limono-argileux,sorgho
5.83,28.76,15.98,44.1,22.06,sablo-limoneux,arachide
5.59,44.42,48.69,133.17,31.05,limoneux,riz
6.24,27.68,16.28,111.36,12.06,sablo-argileux,mil
6.78,35.3,38.36,93.92,27.97,limono-argileux,sorgho
7.0,41.84,18.04,88.71,29.59,sablo-argileux,sorgho
6.97,59.37,23.74,62.42,25.91,limono-argileux,sorgho
6.07,35.23,10.16,94.57,11.17,sableux,mil
7.46,39.87,37.33,123.88,27.24,sablo-argileux,sorgho
6.18,46.42,23.66,79.08,14.33,sablo-argileux,niebe
6.24,45.03,18.38,90.9,17.24,limono-argileux,sorgho
5.47,55.81,43.39,100.5,60.07,argileux,riz
6.81,30.49,21.29,93.35,20.12,sablo-argileux,niebe
5.55,30.82,12.68,69.46,28.43,sablo-argileux,mil
5.89,19.46,28.12,65.51,10.43,sableux,arachide
6.74,22.34,23.43,54.02,15.1,sableux,niebe
6.26,37.8,23.08,70.37,15.03,sablo-limoneux,arachide
6.45,30.69,24.46,52.1,19.99,sableux,niebe
5.71,57.45,26.77,61.46,46.49,argileux,riz
6.99,49.14,19.34,62.41,20.76,sablo-argileux,mil
6.24,20.89,26.97,55.43,21.79,sablo-limoneux,arachide
6.03,61.38,40.47,65.71,35.62,argileux,riz
6.18,33.35,21.8,90.02,34.83,sablo-argileux,sorgho
6.06,67.79,24.04,104.45,30.86,argileux,riz
5.0,68.08,39.49,108.61,34.68,argileux,riz
6.54,42.15,20.57,72.54,21.39,sableux,niebe
6.0,28.4,33.62,86.7,24.13,sableux,arachide
5.96,48.68,20.87,87.83,18.18,sableux,mil
5.18,57.08,37.16,63.07,43.07,limoneux,riz
6.74,48.08,14.58,66.42,21.04,sablo-argileux,niebe
6.21,26.63,18.92,60.98,22.55,sableux,niebe
6.46,46.85,40.33,64.04,58.82,argileux,riz
6.34,23.12,29.82,73.73,22.47,sablo-limoneux,arachide
6.04,25.0,34.98,64.93,11.73,sableux,arachide
6.34,25.08,14.1,89.36,23.95,sablo-argileux,mil
6.81,20.82,32.1,47.0,16.49,sablo-limoneux,arachide
6.27,48.93,35.07,120.73,44.28,argileux,riz
6.17,58.8,33.24,104.24,51.68,argileux,riz
6.68,46.18,24.34,50.59,12.0,sableux,mil
6.35,22.08,25.09,40.1,10.79,sablo-limoneux,arachide
7.04,53.75,37.95,121.28,34.64,sablo-argileux,sorgho
6.41,29.5,26.02,108.28,13.69,sableux,mil
6.95,15.99,24.7,86.24,10.61,sableux,arachide
6.28,43.4,17.66,93.2,13.24,sablo-argileux,niebe
5.86,36.04,33.08,90.9,22.58,sablo-argileux,sorgho
6.35,44.38,15.5,67.37,22.54,sablo-argileux,mil
6.9,25.57,17.45,83.43,15.99,sablo-argileux,niebe
6.13,42.75,37.3,114.59,42.04,limoneux,riz
6.11,45.8,11.56,99.0,12.32,sableux,niebe
5.08,49.49,42.71,88.63,45.58,argileux,riz
6.17,75.01,31.64,135.43,51.85,limoneux,riz
6.75,36.1,17.28,119.77,26.79,limono-argileux,sorgho
6.43,15.51,25.88,52.54,13.06,sableux,arachide
5.86,47.52,28.75,138.78,66.91,argileux,riz
6.1,19.55,17.11,56.33,20.77,sableux,arachide
6.11,24.54,29.29,65.64,23.55,sableux,mil
7.18,46.69,33.87,125.33,15.12,limono-argileux,sorgho
6.34,23.62,29.88,93.12,25.92,sableux,mil
6.35,20.4,23.11,78.6,21.46,sablo-limoneux,arachide
7.48,50.3,15.16,93.53,26.62,sablo-argileux,sorgho
7.41,59.12,20.54,73.55,30.09,sablo-argileux,sorgho
6.48,36.93,24.32,81.62,24.42,sablo-limoneux,arachide
5.69,32.95,14.84,102.43,16.73,sableux,mil
6.87,57.39,31.66,76.18,17.39,sablo-argileux,sorgho
7.37,49.5,39.58,69.97,24.61,sablo-argileux,sorgho
6.05,27.12,16.33,82.04,11.29,sableux,arachide
6.62,22.85,19.4,94.55,15.98,sablo-argileux,niebe
6.0,30.82,26.76,57.32,11.3,sablo-limoneux,arachide
7.25,31.61,24.05,94.7,22.31,sablo-argileux,sorgho
7.11,52.01,33.71,122.44,28.58,sablo-argileux,sorgho
5.62,46.8,15.9,97.52,15.22,sableux,mil
6.24,64.62,49.24,93.42,67.36,limoneux,riz
5.72,61.8,43.98,77.93,58.48,argileux,riz
6.49,27.59,22.35,84.38,21.79,sableux,mil
5.65,40.14,24.31,137.91,52.87,limoneux,riz
5.83,65.38,40.54,122.28,39.71,argileux,riz
7.07,24.07,10.62,67.3,17.58,sablo-argileux,niebe
6.81,41.92,24.55,92.47,14.18,sableux,mil
6.96,28.47,16.92,94.19,13.77,sableux,mil
6.45,17.23,34.58,44.78,23.2,sablo-limoneux,arachide
7.11,29.16,12.99,85.45,19.67,sableux,niebe
7.34,54.56,19.58,79.15,22.6,limono-argileux,sorgho
7.03,20.9,11.93,80.61,14.33,sablo-argileux,niebe
6.1,47.67,18.88,96.17,19.99,sableux,niebe
5.98,27.15,29.16,59.69,14.28,sablo-argileux,mil
6.17,23.16,33.83,47.19,24.16,sableux,arachide
7.03,40.6,35.72,118.08,27.51,limono-argileux,sorgho
6.14,33.19,20.39,79.85,21.35,limono-argileux,sorgho
6.23,25.0,10.49,87.48,18.79,sablo-argileux,niebe
5.33,52.1,40.55,123.13,34.03,argileux,riz
7.23,35.58,30.79,124.95,27.65,sablo-argileux,sorgho
6.87,27.28,15.88,66.67,16.3,sableux,niebe
6.35,47.85,10.06,90.64,21.12,sableux,niebe
5.88,41.32,27.67,60.56,49.4,limoneux,riz
6.01,40.21,27.06,108.92,14.27,sablo-argileux,mil
5.84,45.74,23.49,118.45,33.56,limono-argileux,sorgho
5.65,37.93,23.55,64.4,22.29,sablo-limoneux,arachide
7.22,40.61,20.68,120.16,28.99,sablo-argileux,sorgho
6.56,42.99,24.03,99.42,18.9,sableux,mil
6.88,30.11,23.74,64.81,13.97,sablo-argileux,niebe
6.5,30.38,20.69,71.89,12.82,sableux,arachide
6.63,48.93,21.37,70.33,17.61,sablo-argileux,sorgho
5.11,58.69,27.51,81.18,35.89,argileux,riz
5.3,41.36,46.42,68.67,66.47,argileux,riz
6.18,21.9,30.98,45.46,11.71,sablo-limoneux,arachide
6.36,20.66,10.41,77.91,21.65,sableux,niebe
6.28,23.74,15.41,55.76,22.83,sableux,arachide
7.16,34.85,12.3,97.74,21.16,sableux,niebe
5.81,40.12,34.44,107.58,27.4,limono-argileux,sorgho
5.7,16.35,29.66,62.46,13.1,sablo-limoneux,arachide
6.7,48.76,25.87,79.04,31.23,sablo-argileux,sorgho
6.04,44.45,20.17,98.89,18.25,sablo-argileux,mil
6.28,70.13,34.82,91.71,49.21,limoneux,riz
6.07,16.65,34.1,78.66,24.71,sablo-limoneux,arachide
6.42,58.78,45.14,139.83,62.84,argileux,riz
6.86,26.99,26.26,85.35,24.4,sableux,arachide
6.62,40.86,34.22,97.33,27.57,limono-argileux,sorgho
6.77,32.15,12.14,64.98,22.7,sablo-argileux,niebe
6.94,22.43,24.67,92.91,18.55,sablo-argileux,mil
6.27,68.13,37.66,75.48,54.59,argileux,riz
5.88,58.34,33.09,87.0,15.89,sablo-argileux,sorgho
6.08,19.45,28.85,44.15,21.67,sableux,arachide
6.26,24.08,23.57,90.29,22.72,sableux,niebe
5.6,32.24,16.27,61.04,17.56,sablo-limoneux,arachide
6.85,36.54,21.96,73.1,23.51,sablo-argileux,niebe
6.22,16.38,28.97,87.17,18.63,sableux,arachide
6.24,42.55,43.15,100.51,60.96,argileux,riz
6.63,26.73,23.67,88.52,11.32,sablo-limoneux,arachide
7.07,40.44,12.12,50.67,14.31,sablo-argileux,niebe
6.23,63.21,38.52,118.6,65.98,argileux,riz
6.86,42.23,23.82,55.38,20.67,sableux,niebe
6.49,32.56,24.93,54.86,19.1,sablo-argileux,niebe
5.56,73.67,34.1,109.2,67.9,argileux,riz
6.4,20.2,22.15,80.19,22.95,sableux,niebe
6.24,65.73,49.42,127.54,40.45,argileux,riz
5.58,44.01,10.69,92.79,20.02,sableux,mil
7.16,41.6,14.91,90.81,23.31,sablo-argileux,niebe
6.51,57.54,33.41,116.61,34.9,limono-argileux,sorgho
5.75,77.78,36.32,134.45,65.32,limoneux,riz
6.54,36.81,33.59,84.57,14.72,sablo-limoneux,arachide
7.04,50.85,26.51,93.86,23.24,sablo-argileux,sorgho
6.99,20.66,28.43,78.2,16.13,sableux,arachide
6.08,49.59,18.92,76.02,10.12,sablo-argileux,mil
6.81,32.65,19.71,125.38,22.98,limono-argileux,sorgho
6.35,37.42,21.56,46.92,14.94,sableux,arachide
6.34,35.39,20.48,113.98,27.38,sableux,mil
6.43,23.51,27.68,40.83,11.59,sablo-limoneux,arachide
5.25,76.86,33.79,93.99,50.71,limoneux,riz
6.25,25.51,24.79,60.31,18.76,sablo-limoneux,arachide
5.78,19.5,33.01,88.52,21.31,sablo-limoneux,arachide
6.56,48.91,18.41,74.41,16.5,sableux,mil
5.56,50.52,45.68,132.11,62.66,limoneux,riz
5.83,27.97,19.86,95.08,27.01,sableux,mil
6.86,39.88,27.51,88.73,10.71,sablo-limoneux,arachide
6.61,34.29,39.06,127.26,30.44,limono-argileux,sorgho
6.73,49.16,26.99,88.57,31.11,limono-argileux,sorgho
6.2,45.73,32.06,102.52,63.75,limoneux,riz
6.28,22.48,16.58,84.3,14.39,sablo-argileux,niebe
6.5,21.68,27.27,66.89,18.27,sableux,arachide
6.42,29.29,12.45,86.42,18.5,sableux,niebe
6.27,48.21,29.26,75.84,16.5,sablo-argileux,sorgho
5.95,49.89,33.41,118.37,20.85,limono-argileux,sorgho
7.23,31.69,21.78,71.67,31.22,limono-argileux,sorgho
7.15,33.68,24.12,90.31,20.54,sablo-argileux,niebe
7.13,53.31,19.31,117.66,24.44,limono-argileux,sorgho
6.36,21.85,17.14,77.19,17.25,sablo-limoneux,arachide
5.96,40.63,26.2,116.56,34.14,limono-argileux,sorgho
5.85,31.94,15.69,76.26,16.46,sableux,arachide
7.06,39.13,33.87,73.78,16.02,limono-argileux,sorgho
6.1,40.81,20.31,55.2,23.73,sableux,niebe
5.64,53.34,49.56,147.34,55.49,argileux,riz
6.6,53.6,31.4,71.12,18.31,limono-argileux,sorgho
6.59,34.29,16.71,97.54,12.63,sableux,niebe
6.08,45.04,14.6,56.56,22.14,sablo-argileux,niebe
6.13,40.22,22.51,93.35,31.09,sablo-argileux,sorgho
6.78,57.37,23.25,75.53,24.09,sablo-argileux,sorgho
6.17,44.31,12.56,81.75,27.24,sableux,mil
5.93,31.16,19.47,73.72,18.38,sableux,arachide
6.84,37.17,37.56,75.35,24.67,limono-argileux,sorgho
5.88,34.69,34.1,113.45,20.81,limono-argileux,sorgho
6.61,38.82,22.51,98.73,29.28,sablo-argileux,mil
6.52,36.94,17.76,98.07,16.59,sablo-argileux,niebe
6.49,49.12,10.32,58.27,25.06,sablo-argileux,mil
6.02,29.46,17.8,52.91,13.18,sableux,niebe
6.01,37.41,15.24,80.51,10.7,sableux,mil
5.11,60.76,38.15,132.94,68.26,argileux,riz
5.76,32.49,33.11,80.89,14.73,sableux,arachide
7.38,59.36,26.06,125.03,18.66,limono-argileux,sorgho
5.34,59.65,37.16,86.04,45.34,limoneux,riz
6.63,41.45,29.94,56.61,14.14,sableux,mil
5.87,39.15,25.95,51.51,15.33,sablo-limoneux,arachide
5.47,68.44,34.33,76.56,62.03,limoneux,riz
7.48,57.45,21.52,92.27,34.97,limono-argileux,sorgho
5.95,31.96,26.86,44.05,13.27,sableux,arachide
6.13,20.98,19.03,82.94,12.61,sablo-argileux,niebe
6.03,52.89,34.96,126.26,30.17,argileux,riz
6.24,43.51,23.46,91.09,12.66,sablo-argileux,mil
6.79,34.26,29.87,89.64,10.16,sablo-limoneux,arachide
7.16,35.78,18.61,71.22,18.68,sablo-argileux,niebe
5.8,19.04,15.88,79.65,18.35,sablo-limoneux,arachide
6.06,50.8,34.74,75.2,28.64,limono-argileux,sorgho
5.92,66.01,33.76,80.04,52.53,argileux,riz
5.99,57.1,30.91,124.06,41.68,argileux,riz
7.15,49.28,14.03,95.37,16.34,sablo-argileux,niebe
7.07,49.18,21.5,93.45,24.77,sablo-argileux,niebe
5.59,32.52,21.49,42.02,16.75,sablo-limoneux,arachide
6.66,44.75,14.31,90.5,16.09,sableux,niebe
5.61,21.07,29.38,46.83,13.13,sableux,arachide
7.16,44.51,17.97,62.75,19.34,sablo-argileux,niebe
6.02,43.21,22.38,58.87,23.8,sablo-argileux,niebe
6.28,35.18,20.72,74.18,12.25,sableux,niebe
6.07,30.24,21.27,103.05,26.01,sablo-argileux,mil
7.01,37.51,24.64,97.52,13.78,sableux,niebe
6.73,42.68,15.55,126.26,28.84,sablo-argileux,sorgho
6.7,27.6,21.57,114.07,28.97,sablo-argileux,mil
6.25,69.68,26.83,142.94,40.11,argileux,riz
6.46,35.27,17.3,64.07,14.85,sablo-argileux,niebe
5.24,60.51,47.48,97.73,65.01,limoneux,riz
6.82,34.1,21.93,96.48,13.05,sablo-argileux,niebe
7.3,35.17,37.32,86.51,17.98,limono-argileux,sorgho
6.13,27.66,22.36,57.4,18.8,sableux,arachide
6.58,58.48,32.48,117.82,24.01,sablo-argileux,sorgho
6.12,43.7,37.69,69.64,24.69,sablo-argileux,sorgho
6.25,40.82,21.43,108.05,19.35,sableux,mil
6.84,35.35,12.0,62.33,18.0,sablo-argileux,mil
6.37,42.32,29.61,104.97,17.92,sablo-argileux,sorgho
7.12,40.63,24.46,72.49,17.73,sableux,niebe
6.89,38.79,22.26,75.3,18.91,sablo-argileux,niebe
6.34,33.73,19.07,51.12,13.27,sablo-argileux,niebe
6.67,33.79,16.45,74.84,16.3,sablo-argileux,niebe
5.88,35.83,25.29,76.01,22.45,sablo-limoneux,arachide
5.66,23.44,29.84,78.82,13.58,sableux,arachide
5.01,48.69,36.97,85.26,52.08,argileux,riz
6.0,17.54,18.02,68.2,23.64,sableux,arachide
5.59,23.02,25.01,41.9,12.5,sableux,arachide
5.98,57.32,49.74,67.84,31.34,argileux,riz
6.68,21.86,21.84,84.32,17.32,sablo-argileux,niebe
6.39,30.82,12.49,107.39,11.24,sablo-argileux,mil
6.5,18.35,22.48,45.9,19.56,sablo-limoneux,arachide
6.12,35.76,22.81,68.76,23.04,sablo-argileux,niebe
6.55,39.21,15.85,54.87,22.93,sablo-argileux,niebe
6.7,47.74,19.92,59.24,21.48,sablo-argileux,niebe
6.45,31.94,18.35,72.36,19.13,sablo-limoneux,arachide
6.35,34.97,20.3,118.29,15.32,limono-argileux,sorgho
6.86,49.19,28.21,70.58,26.9,sableux,mil
6.91,36.32,21.57,58.94,14.91,sableux,niebe
7.46,53.43,38.45,98.58,32.13,limono-argileux,sorgho
5.34,75.41,47.32,102.6,44.88,limoneux,riz
6.04,31.89,25.72,45.45,17.63,sablo-limoneux,arachide
6.9,59.59,33.17,76.41,33.93,sablo-argileux,sorgho
6.0,70.69,29.65,129.59,69.87,argileux,riz
6.95,26.35,13.75,82.57,16.42,sableux,niebe
6.93,21.89,27.72,47.05,20.74,sableux,arachide
7.44,50.23,33.57,103.68,31.86,sablo-argileux,sorgho
6.46,24.68,16.74,92.63,14.23,sablo-argileux,niebe
5.14,61.34,30.43,107.4,52.8,argileux,riz
6.5,38.25,13.42,72.04,19.09,sablo-argileux,mil
5.61,52.97,26.43,66.75,47.49,limoneux,riz
6.46,53.52,20.03,116.81,16.02,sablo-argileux,sorgho
7.27,32.12,37.72,92.01,31.75,sablo-argileux,sorgho
6.05,49.8,24.08,60.75,17.4,sablo-argileux,niebe
7.05,29.35,10.66,61.34,15.98,sableux,niebe
6.24,21.84,15.94,75.1,26.1,sableux,mil
5.55,15.61,20.16,84.25,14.5,sablo-limoneux,arachide
5.41,54.82,39.0,124.32,35.74,argileux,riz
5.91,43.54,31.57,106.32,26.04,sablo-argileux,sorgho
7.0,52.45,37.98,69.63,22.9,sablo-argileux,sorgho
6.73,26.53,32.99,68.42,23.5,sableux,arachide
5.58,41.46,32.86,118.1,43.19,argileux,riz
6.35,77.25,36.98,137.28,43.77,argileux,riz
6.03,44.57,18.75,71.48,14.19,sablo-argileux,niebe
5.32,62.62,47.66,70.0,69.42,argileux,riz
5.99,44.47,31.72,79.06,34.33,sablo-argileux,sorgho
7.1,45.1,29.1,128.51,16.22,sablo-argileux,sorgho
6.44,52.33,28.2,93.22,51.68,argileux,riz
5.61,76.85,26.67,125.62,62.98,argileux,riz
5.3,42.9,27.89,106.46,30.56,argileux,riz
6.08,31.22,19.37,64.38,11.63,sableux,arachide
6.96,40.04,20.21,50.9,12.65,sableux,niebe
5.13,76.57,33.82,116.61,37.0,limoneux,riz
6.75,17.69,17.13,56.25,14.45,sableux,arachide
6.28,34.77,10.2,51.64,25.14,sablo-argileux,mil
6.4,46.15,19.21,58.17,18.79,sablo-argileux,niebe
5.71,47.26,28.18,86.66,66.69,argileux,riz
5.56,39.22,19.85,51.22,16.56,sableux,mil
6.63,25.16,29.87,80.84,13.41,sablo-argileux,mil
6.93,43.12,23.04,60.92,17.69,sablo-argileux,mil
6.27,39.5,35.08,115.57,19.22,limono-argileux,sorgho
6.58,21.02,14.38,72.76,23.56,sableux,niebe
5.14,78.08,37.16,87.16,39.43,argileux,riz
6.43,57.71,33.67,86.55,32.85,limono-argileux,sorgho
6.66,28.1,13.06,76.52,22.52,sableux,niebe
6.59,22.44,25.49,79.66,12.71,sableux,arachide
6.83,25.47,19.84,57.62,23.55,sableux,arachide
5.71,51.46,38.17,67.35,66.31,limoneux,riz
6.29,47.49,32.44,88.65,38.02,argileux,riz
5.88,24.22,23.13,89.37,23.95,sablo-argileux,mil
6.52,45.84,13.45,92.33,17.16,sablo-argileux,niebe
5.91,29.31,24.93,108.97,23.82,sableux,mil
6.76,16.23,23.88,65.48,11.55,sablo-limoneux,arachide
5.29,75.29,35.3,69.47,54.61,argileux,riz
6.94,45.83,28.75,100.62,26.15,sablo-argileux,sorgho
6.52,33.35,13.14,86.42,17.85,sablo-argileux,niebe
6.35,20.17,23.28,58.59,11.33,sableux,mil
6.69,57.39,38.32,82.43,20.19,limono-argileux,sorgho
6.81,21.37,24.96,100.98,11.06,sablo-argileux,mil
5.76,28.41,34.56,53.75,24.87,sableux,arachide
6.05,45.13,21.73,70.96,12.04,sableux,niebe
5.92,39.28,33.54,46.02,22.58,sableux,arachide
6.83,43.03,23.19,56.7,23.17,sablo-argileux,niebe
5.76,19.05,28.1,72.66,20.53,sableux,arachide
6.93,24.2,30.56,78.26,22.39,sablo-limoneux,arachide
6.37,21.69,27.8,100.91,12.02,sablo-argileux,mil
5.63,20.97,24.96,50.06,14.12,sablo-limoneux,arachide
6.93,34.24,27.03,80.75,19.4,sableux,arachide
6.14,39.16,16.06,85.04,31.1,sablo-argileux,sorgho
6.82,24.4,32.04,89.46,18.96,sablo-limoneux,arachide
5.75,65.25,27.24,79.87,41.18,argileux,riz
5.79,28.5,19.33,98.99,18.53,sableux,mil
5.05,48.63,45.94,107.52,67.25,limoneux,riz
6.41,72.41,36.48,94.35,45.12,argileux,riz
6.9,32.19,19.31,84.69,17.66,sablo-argileux,mil
6.23,40.55,16.18,58.16,21.53,sableux,niebe
5.41,79.32,32.07,79.3,55.17,argileux,riz
6.72,47.5,10.31,81.23,16.31,sablo-argileux,mil
6.42,39.12,20.7,51.26,21.17,sablo-argileux,niebe
6.29,35.96,39.93,106.65,30.11,sablo-argileux,sorgho
7.14,46.09,25.38,61.98,23.96,sablo-argileux,sorgho
6.69,27.5,21.52,41.39,19.95,sablo-limoneux,arachide
6.06,30.27,11.01,77.6,12.88,sableux,niebe
5.15,70.27,46.44,120.0,46.74,argileux,riz
6.95,32.77,29.9,98.0,10.08,sableux,mil
5.75,63.94,21.9,83.83,30.31,argileux,riz
5.52,26.31,29.75,78.66,17.85,sableux,arachide
6.21,23.53,33.5,65.28,22.87,sableux,arachide
6.62,27.96,20.73,101.65,10.27,sablo-argileux,mil
5.52,20.0,21.88,82.12,18.97,sablo-limoneux,arachide
5.82,23.11,25.07,44.35,12.92,sablo-limoneux,arachide
6.72,23.98,24.07,67.6,22.63,sablo-limoneux,arachide
6.46,29.87,11.68,63.85,24.57,sableux,niebe
5.62,49.45,11.82,98.47,24.06,sableux,mil
6.26,38.71,28.49,88.62,11.51,sablo-limoneux,arachide
6.0,29.06,20.31,58.73,24.03,sablo-argileux,niebe
6.25,20.72,16.01,63.17,10.48,sableux,mil
5.92,29.62,25.08,92.08,11.85,sablo-argileux,mil
6.44,22.68,15.31,90.64,24.37,sablo-argileux,mil
6.36,24.49,27.12,109.7,23.72,sablo-argileux,mil
5.72,34.68,26.0,110.93,26.2,sablo-argileux,mil
7.18,28.6,23.8,97.17,15.74,sableux,niebe
6.7,31.32,14.45,69.93,19.05,sableux,niebe
6.33,40.63,35.18,84.68,16.84,limono-argileux,sorgho
5.72,21.81,20.8,71.95,24.56,sablo-argileux,mil
7.32,55.79,30.06,123.11,16.57,sablo-argileux,sorgho
5.68,44.92,28.56,74.96,19.81,sableux,mil
7.07,47.37,24.44,72.32,13.63,sablo-argileux,niebe
5.74,58.19,21.16,134.4,39.79,argileux,riz
5.71,43.07,17.37,64.85,16.33,sablo-argileux,mil
5.97,33.03,37.88,115.13,25.19,sablo-argileux,sorgho
5.58,20.61,10.78,68.6,17.28,sablo-argileux,mil
