culture,pH,rainfall_mm,temperature_C
Mil (Pearl Millet),5.36,511.7,33.7
Gombo (Okra),6.29,777.9,26.9
Mil (Pearl Millet),5.27,511.1,36.0
Arachide (Groundnut),6.14,789.5,28.5
Patate douce (Sweet Potato),5.99,912.6,23.6
Arachide (Groundnut),5.84,873.2,23.5
Mil (Pearl Millet),5.32,756.2,35.8
Niébé (Cowpea),6.35,448.2,34.6
Arachide (Groundnut),5.82,831.2,29.7
Niébé (Cowpea),5.85,586.2,27.3
Riz pluvial (Rainfed Rice),5.93,684.6,30.9
Manioc (Cassava),5.69,1056.2,25.1
Gombo (Okra),6.77,752.7,23.2
Niébé (Cowpea),6.45,584.5,28.1
Gombo (Okra),6.56,612.3,23.0
Mil (Pearl Millet),5.6,569.0,36.8
Patate douce (Sweet Potato),5.98,824.2,27.9
Sésame (Sesame),6.2,519.6,32.9
Niébé (Cowpea),6.29,556.1,34.9
Mil (Pearl Millet),5.61,633.1,36.0
Patate douce (Sweet Potato),6.19,886.1,22.3
Mil (Pearl Millet),5.3,501.9,39.9
Manioc (Cassava),5.9,1445.9,29.5
Maïs (Maize),6.1,657.3,30.1
Patate douce (Sweet Potato),6.0,830.5,29.8
Riz pluvial (Rainfed Rice),6.35,638.9,25.2
Sésame (Sesame),6.56,608.6,33.4
Sorgho (Sorghum),7.3,615.1,31.7
Patate douce (Sweet Potato),6.07,751.6,23.3
Gombo (Okra),5.94,758.0,27.6
Niébé (Cowpea),5.67,354.2,28.7
Mil (Pearl Millet),5.51,850.3,34.5
Mil (Pearl Millet),5.47,756.6,34.6
Riz pluvial (Rainfed Rice),5.97,629.5,29.6
Sésame (Sesame),6.29,636.6,26.3
Niébé (Cowpea),5.99,486.9,34.9
Sorgho (Sorghum),7.14,444.8,28.5
Manioc (Cassava),6.03,1079.7,32.7
Patate douce (Sweet Potato),6.02,997.0,21.6
Manioc (Cassava),6.97,1336.0,32.8
Sorgho (Sorghum),7.03,557.4,31.2
Maïs (Maize),6.03,602.3,21.5
Mil (Pearl Millet),5.84,729.3,36.0
Sorgho (Sorghum),6.64,624.3,31.7
Niébé (Cowpea),5.74,597.1,33.5
Patate douce (Sweet Potato),5.82,916.4,21.6
Patate douce (Sweet Potato),5.81,923.3,29.5
Maïs (Maize),6.48,644.1,26.7
Patate douce (Sweet Potato),5.84,1066.9,25.7
Maïs (Maize),6.38,781.1,22.1
Mil (Pearl Millet),5.54,786.7,39.8
Sorgho (Sorghum),6.95,461.2,26.4
Maïs (Maize),6.06,536.3,29.0
Maïs (Maize),6.46,630.7,29.5
Patate douce (Sweet Potato),5.88,1002.9,22.9
Gombo (Okra),6.36,726.4,20.2
Manioc (Cassava),6.68,1145.4,33.4
Arachide (Groundnut),6.08,846.6,29.4
Manioc (Cassava),6.27,1175.9,25.2
Patate douce (Sweet Potato),6.08,794.2,21.4
Gombo (Okra),6.47,854.5,27.8
Gombo (Okra),6.34,709.2,20.3
Mil (Pearl Millet),5.3,611.9,38.6
Patate douce (Sweet Potato),6.07,1054.9,26.3
Riz pluvial (Rainfed Rice),6.49,655.3,31.3
Sésame (Sesame),6.71,564.1,33.1
Maïs (Maize),6.23,563.6,28.5
Maïs (Maize),6.44,744.1,29.0
Patate douce (Sweet Potato),6.19,953.0,21.1
Sorgho (Sorghum),7.3,502.9,29.9
Gombo (Okra),6.75,830.5,34.7
Sésame (Sesame),6.3,545.7,33.8
Arachide (Groundnut),5.92,656.7,24.9
Niébé (Cowpea),6.32,447.5,25.8
Manioc (Cassava),5.51,1482.2,32.7
Sorgho (Sorghum),6.23,647.2,28.4
Arachide (Groundnut),6.01,803.4,21.4
Gombo (Okra),6.56,765.6,24.1
Arachide (Groundnut),5.99,731.2,22.7
Sésame (Sesame),6.77,696.0,25.1
Sorgho (Sorghum),6.23,581.8,29.0
Arachide (Groundnut),6.16,566.1,26.0
Arachide (Groundnut),5.88,816.9,23.6
Manioc (Cassava),6.27,1042.9,32.1
Sésame (Sesame),6.57,691.4,32.3
Mil (Pearl Millet),5.54,731.7,34.0
Maïs (Maize),6.44,560.6,22.2
Mil (Pearl Millet),5.7,680.4,34.7
Manioc (Cassava),6.19,1016.3,32.3
Patate douce (Sweet Potato),6.09,845.1,28.8
Sésame (Sesame),6.83,420.7,28.9
Gombo (Okra),6.27,609.0,26.7
Manioc (Cassava),6.85,1275.4,27.3
Sorgho (Sorghum),7.13,607.7,30.7
Mil (Pearl Millet),5.85,652.0,31.3
Manioc (Cassava),5.88,1338.3,28.0
Niébé (Cowpea),5.73,573.8,28.6
Sorgho (Sorghum),6.85,495.9,32.3
Maïs (Maize),6.3,807.8,31.9
Sorgho (Sorghum),6.37,552.7,26.7
Gombo (Okra),6.79,808.4,24.5
Sorgho (Sorghum),7.05,440.2,30.4
Sésame (Sesame),6.11,531.7,33.9
Patate douce (Sweet Potato),5.88,795.9,22.2
Sésame (Sesame),6.37,481.4,26.3
Riz pluvial (Rainfed Rice),5.77,670.3,28.0
Arachide (Groundnut),6.18,683.1,23.1
Maïs (Maize),6.26,806.6,26.2
Niébé (Cowpea),5.93,410.8,27.1
Mil (Pearl Millet),5.78,858.4,38.0
Gombo (Okra),6.51,809.8,22.3
Gombo (Okra),6.53,879.7,23.8
Mil (Pearl Millet),5.82,689.1,33.0
Sorgho (Sorghum),7.05,581.0,30.0
Patate douce (Sweet Potato),6.19,861.3,26.8
Sésame (Sesame),6.19,531.9,27.5
Arachide (Groundnut),6.13,776.0,23.0
Sorgho (Sorghum),6.9,423.7,32.3
Niébé (Cowpea),6.45,523.4,33.8
Manioc (Cassava),5.8,1055.8,30.1
Maïs (Maize),6.14,846.8,23.0
Riz pluvial (Rainfed Rice),5.71,630.3,24.5
Manioc (Cassava),5.87,1332.4,31.1
Sorgho (Sorghum),7.26,489.8,32.1
Patate douce (Sweet Potato),6.04,997.6,22.3
Maïs (Maize),6.37,789.1,30.2
Sésame (Sesame),6.64,685.8,28.1
Sésame (Sesame),6.39,494.8,26.7
Sésame (Sesame),6.9,444.7,25.7
Manioc (Cassava),5.58,1122.4,30.8
Niébé (Cowpea),5.69,383.9,29.6
Niébé (Cowpea),6.25,498.1,27.9
Niébé (Cowpea),6.07,535.4,29.3
Maïs (Maize),6.34,869.4,28.1
Arachide (Groundnut),6.11,780.8,27.1
Arachide (Groundnut),5.98,689.8,23.0
Riz pluvial (Rainfed Rice),5.5,641.1,25.2
Patate douce (Sweet Potato),6.11,1025.6,26.6
Niébé (Cowpea),5.64,461.0,28.7
Maïs (Maize),6.28,627.3,22.2
Arachide (Groundnut),5.88,714.0,21.3
Patate douce (Sweet Potato),5.82,942.3,29.9
Maïs (Maize),6.44,612.4,26.1
Gombo (Okra),5.93,672.5,24.2
Sorgho (Sorghum),6.72,518.6,34.6
Niébé (Cowpea),5.58,519.0,30.2
Mil (Pearl Millet),5.76,788.0,34.5
Arachide (Groundnut),6.12,671.9,27.8
Maïs (Maize),6.09,735.2,32.9
Sésame (Sesame),6.39,412.4,27.3
Sorgho (Sorghum),7.22,418.3,32.4
Gombo (Okra),6.39,779.7,22.0
Sésame (Sesame),6.25,574.4,27.6
Arachide (Groundnut),5.97,619.6,27.0
Gombo (Okra),6.05,622.8,25.8
Riz pluvial (Rainfed Rice),6.49,608.7,25.3
Sésame (Sesame),6.55,678.7,26.2
Maïs (Maize),6.33,667.8,32.6
Gombo (Okra),6.4,628.3,33.9
Niébé (Cowpea),5.87,598.1,26.0
Patate douce (Sweet Potato),6.12,970.2,24.6
Arachide (Groundnut),5.96,671.3,21.9
Mil (Pearl Millet),5.22,847.2,30.7
Gombo (Okra),5.94,683.9,32.3
Patate douce (Sweet Potato),6.12,916.9,24.8
Mil (Pearl Millet),5.37,890.2,30.6
Riz pluvial (Rainfed Rice),6.05,649.3,26.8
Niébé (Cowpea),5.81,435.0,27.8
Riz pluvial (Rainfed Rice),5.75,671.9,31.6
Sorgho (Sorghum),6.54,600.4,33.3
Niébé (Cowpea),6.01,565.1,28.2
Mil (Pearl Millet),5.78,532.9,38.2
Maïs (Maize),6.16,884.1,26.9
Manioc (Cassava),6.65,1116.2,28.5
Maïs (Maize),6.11,876.7,21.7
Gombo (Okra),5.99,737.5,33.4
Riz pluvial (Rainfed Rice),5.63,698.4,27.1
Gombo (Okra),6.07,836.5,24.5
Gombo (Okra),6.41,602.1,26.5
Sésame (Sesame),6.22,574.2,30.7
Sorgho (Sorghum),6.89,479.6,29.9
Sorgho (Sorghum),6.56,403.8,27.6
Patate douce (Sweet Potato),6.17,843.2,28.8
Gombo (Okra),6.51,715.0,28.3
Sorgho (Sorghum),6.21,649.2,25.1
Mil (Pearl Millet),5.34,657.0,32.5
Gombo (Okra),6.32,628.5,31.0
Sésame (Sesame),6.18,414.9,31.1
Riz pluvial (Rainfed Rice),5.59,614.2,31.6
Patate douce (Sweet Potato),6.0,1018.6,28.1
Maïs (Maize),6.03,668.4,22.7
Arachide (Groundnut),6.16,618.5,23.6
Sorgho (Sorghum),7.34,483.0,34.7
Riz pluvial (Rainfed Rice),5.55,621.0,25.9
Maïs (Maize),6.5,793.2,24.3
Niébé (Cowpea),5.89,590.5,30.1
Niébé (Cowpea),6.45,470.6,27.9
Arachide (Groundnut),5.9,893.2,24.8
Arachide (Groundnut),5.97,607.7,25.0
Sorgho (Sorghum),6.47,577.5,26.2
Sorgho (Sorghum),6.92,626.9,31.1
Arachide (Groundnut),5.91,511.1,23.1
Sorgho (Sorghum),6.2,505.5,30.6
Mil (Pearl Millet),5.59,715.8,34.9
Manioc (Cassava),6.07,1170.7,26.9
Sorgho (Sorghum),6.64,557.9,31.9
Patate douce (Sweet Potato),6.01,799.4,28.6
Niébé (Cowpea),6.0,444.4,29.7
Patate douce (Sweet Potato),5.8,988.5,27.8
Gombo (Okra),6.68,725.3,23.8
Gombo (Okra),6.76,844.6,24.5
Manioc (Cassava),5.58,1090.2,26.9
Patate douce (Sweet Potato),6.09,1099.5,23.0
Riz pluvial (Rainfed Rice),6.06,654.5,25.8
Arachide (Groundnut),6.05,639.6,29.6
Maïs (Maize),6.27,555.5,21.4
Sésame (Sesame),6.15,428.7,33.6
Niébé (Cowpea),5.67,361.7,27.2
Mil (Pearl Millet),5.75,542.3,38.6
Sésame (Sesame),6.59,557.5,28.6
Sorgho (Sorghum),7.38,437.1,31.1
Patate douce (Sweet Potato),6.11,932.2,26.2
Niébé (Cowpea),5.63,391.6,32.8
Riz pluvial (Rainfed Rice),5.99,646.0,31.1
Manioc (Cassava),6.49,1461.5,33.4
Manioc (Cassava),5.88,1476.8,28.8
Gombo (Okra),5.8,600.8,23.8
Sésame (Sesame),6.33,567.9,33.5
Mil (Pearl Millet),5.55,799.5,31.4
Mil (Pearl Millet),5.8,614.1,38.5
Patate douce (Sweet Potato),5.9,1031.3,29.5
Mil (Pearl Millet),5.59,634.4,37.8
Mil (Pearl Millet),5.81,718.8,31.2
Gombo (Okra),6.14,620.4,21.8
Patate douce (Sweet Potato),6.12,1004.1,27.5
Maïs (Maize),6.48,618.6,28.0
Manioc (Cassava),5.66,1333.1,34.6
Maïs (Maize),6.24,531.3,30.3
Riz pluvial (Rainfed Rice),6.49,620.3,29.5
Patate douce (Sweet Potato),5.87,795.5,26.1
Gombo (Okra),5.93,806.0,34.1
Sésame (Sesame),6.34,587.2,27.6
Arachide (Groundnut),6.14,810.1,25.8
Manioc (Cassava),6.88,1469.9,33.6
Riz pluvial (Rainfed Rice),5.81,677.5,29.0
Maïs (Maize),6.32,669.9,20.9
Maïs (Maize),6.43,687.8,30.2
Mil (Pearl Millet),5.31,788.8,35.5
Maïs (Maize),6.41,710.7,29.5
Patate douce (Sweet Potato),5.8,847.2,25.9
Mil (Pearl Millet),5.45,879.2,31.1
Gombo (Okra),6.57,735.2,20.5
Manioc (Cassava),6.49,1051.3,29.7
Maïs (Maize),6.04,533.4,32.0
Sésame (Sesame),6.43,625.2,30.7
Gombo (Okra),5.92,832.1,24.3
Maïs (Maize),6.42,512.5,26.1
Arachide (Groundnut),5.93,549.5,25.4
Maïs (Maize),6.38,880.6,25.3
Maïs (Maize),6.38,695.8,20.5
Riz pluvial (Rainfed Rice),6.14,608.3,28.3
Mil (Pearl Millet),5.32,772.1,39.3
Sorgho (Sorghum),6.02,540.4,33.3
Arachide (Groundnut),6.12,625.8,21.6
Manioc (Cassava),5.82,1435.5,26.8
Sésame (Sesame),6.93,609.9,33.9
Manioc (Cassava),5.67,1441.0,28.0
Sorgho (Sorghum),6.11,590.0,27.9
Manioc (Cassava),6.04,1119.4,31.5
Sorgho (Sorghum),6.21,630.4,27.3
Patate douce (Sweet Potato),6.02,889.6,25.2
Arachide (Groundnut),6.0,626.7,27.3
Sésame (Sesame),6.41,546.2,30.0
Maïs (Maize),6.2,721.3,26.6
Riz pluvial (Rainfed Rice),6.15,615.1,29.2
Sorgho (Sorghum),7.06,410.6,28.8
Maïs (Maize),6.01,665.1,24.3
Sorgho (Sorghum),6.82,468.1,31.4
Niébé (Cowpea),5.72,417.9,31.9
Mil (Pearl Millet),5.92,836.1,38.3
Niébé (Cowpea),5.57,488.3,27.3
Sorgho (Sorghum),6.35,638.3,29.1
Manioc (Cassava),6.64,1028.0,31.9
Niébé (Cowpea),5.64,361.0,31.5
Gombo (Okra),6.03,719.1,32.7
Riz pluvial (Rainfed Rice),6.21,656.3,27.9
Niébé (Cowpea),5.7,546.2,27.6
Riz pluvial (Rainfed Rice),6.03,602.8,28.8
Sésame (Sesame),6.22,401.3,25.0
Gombo (Okra),6.22,793.1,21.3
Sorgho (Sorghum),7.39,563.0,32.9
Riz pluvial (Rainfed Rice),6.27,618.0,31.6
Mil (Pearl Millet),5.26,837.6,31.2
Riz pluvial (Rainfed Rice),5.57,625.2,28.4
Gombo (Okra),6.77,786.1,25.4
Mil (Pearl Millet),5.3,802.2,36.2
Manioc (Cassava),6.53,1442.3,29.4
Sésame (Sesame),6.63,570.5,28.7
Riz pluvial (Rainfed Rice),5.77,643.7,24.6
Patate douce (Sweet Potato),5.84,808.8,27.9
Gombo (Okra),6.44,893.0,29.3
Niébé (Cowpea),5.69,358.0,27.4
Niébé (Cowpea),5.87,482.2,33.0
Riz pluvial (Rainfed Rice),5.85,653.9,28.6
Gombo (Okra),6.43,783.6,29.0
Manioc (Cassava),6.38,1145.6,26.7
Riz pluvial (Rainfed Rice),5.58,611.9,28.8
Manioc (Cassava),6.12,1215.6,25.7
Arachide (Groundnut),6.04,700.9,29.6
Riz pluvial (Rainfed Rice),6.48,625.3,24.9
Manioc (Cassava),5.52,1004.4,28.1
Patate douce (Sweet Potato),6.11,1098.2,27.5
Niébé (Cowpea),6.41,387.0,33.8
Gombo (Okra),6.37,697.3,30.6
Patate douce (Sweet Potato),5.86,976.9,29.6
Patate douce (Sweet Potato),6.08,860.7,22.1
Sorgho (Sorghum),6.57,513.6,34.4
Gombo (Okra),6.25,820.3,23.3
Maïs (Maize),6.45,754.2,30.7
Arachide (Groundnut),5.83,646.8,28.9
Sorgho (Sorghum),6.07,410.9,33.9
Mil (Pearl Millet),5.24,872.3,32.7
Riz pluvial (Rainfed Rice),5.77,699.2,24.2
Riz pluvial (Rainfed Rice),6.21,602.0,30.4
Arachide (Groundnut),5.95,658.0,25.6
Manioc (Cassava),5.55,1442.3,31.0
Sésame (Sesame),6.34,530.3,27.2
Arachide (Groundnut),6.15,510.0,28.6
Mil (Pearl Millet),5.46,597.6,38.1
Sorgho (Sorghum),6.23,469.5,27.5
Mil (Pearl Millet),5.45,792.2,34.5
Gombo (Okra),6.57,823.5,27.9
Maïs (Maize),6.08,744.6,25.9
Gombo (Okra),6.1,600.0,22.6
Sorgho (Sorghum),6.15,514.0,28.1
Riz pluvial (Rainfed Rice),6.23,603.3,31.2
Arachide (Groundnut),5.93,512.8,29.6
Patate douce (Sweet Potato),6.1,1012.5,27.5
Manioc (Cassava),5.94,1145.0,30.8
Manioc (Cassava),6.01,1348.8,34.0
Mil (Pearl Millet),5.87,679.1,30.2
Riz pluvial (Rainfed Rice),6.32,649.4,26.4
Sésame (Sesame),6.61,541.0,25.4
Maïs (Maize),6.0,631.0,31.6
Sésame (Sesame),6.84,572.6,33.6
Sorgho (Sorghum),6.24,556.0,27.2
Sésame (Sesame),6.08,641.7,26.8
Gombo (Okra),6.38,803.0,34.9
Sorgho (Sorghum),6.65,611.5,32.6
Manioc (Cassava),6.38,1001.1,29.2
Arachide (Groundnut),6.0,517.0,29.7
Gombo (Okra),6.31,729.3,20.2
Sorgho (Sorghum),6.69,589.7,29.7
Mil (Pearl Millet),5.32,646.6,31.7
Patate douce (Sweet Potato),6.06,1039.7,29.7
Gombo (Okra),6.36,747.1,23.8
Gombo (Okra),6.5,893.0,22.0
Riz pluvial (Rainfed Rice),6.15,653.2,30.8
Sésame (Sesame),6.67,603.4,29.4
Riz pluvial (Rainfed Rice),6.11,672.7,24.4
Riz pluvial (Rainfed Rice),6.38,687.3,28.4
Sésame (Sesame),6.25,438.6,33.9
Manioc (Cassava),5.87,1004.7,31.2
Sorgho (Sorghum),6.96,641.8,34.3
Riz pluvial (Rainfed Rice),6.25,650.1,26.5
Riz pluvial (Rainfed Rice),6.23,676.5,31.2
Niébé (Cowpea),5.78,510.1,30.8
Riz pluvial (Rainfed Rice),6.33,676.1,31.1
Gombo (Okra),6.54,782.0,30.2
Sorgho (Sorghum),6.86,513.5,32.9
Riz pluvial (Rainfed Rice),6.04,673.0,27.8
Sésame (Sesame),6.39,635.2,29.0
Arachide (Groundnut),6.14,784.2,22.3
Niébé (Cowpea),6.34,499.1,29.0
Gombo (Okra),6.24,780.5,30.7
Maïs (Maize),6.33,714.0,31.2
Manioc (Cassava),5.98,1292.5,34.9
Gombo (Okra),5.91,865.3,25.0
Manioc (Cassava),5.92,1132.6,29.5
Sésame (Sesame),6.3,564.8,27.2
Maïs (Maize),6.33,680.2,29.9
Sorgho (Sorghum),7.12,432.9,26.7
Sésame (Sesame),6.18,632.1,33.0
Mil (Pearl Millet),5.7,672.5,35.5
Patate douce (Sweet Potato),6.08,947.7,27.8
Arachide (Groundnut),5.96,602.6,25.7
Sésame (Sesame),6.47,443.6,27.2
Sorgho (Sorghum),6.92,422.5,28.1
Mil (Pearl Millet),5.26,860.7,31.3
Riz pluvial (Rainfed Rice),5.66,629.3,31.2
Gombo (Okra),6.23,868.8,23.4
Niébé (Cowpea),6.11,593.1,27.8
Patate douce (Sweet Potato),5.95,992.1,27.5
Maïs (Maize),6.01,594.6,31.4
Niébé (Cowpea),5.89,571.9,32.4
Sésame (Sesame),6.12,441.7,27.8
Maïs (Maize),6.12,683.2,27.9
Niébé (Cowpea),5.55,439.2,28.0
Riz pluvial (Rainfed Rice),6.28,688.1,24.2
Mil (Pearl Millet),5.81,820.1,35.1
Arachide (Groundnut),5.85,629.7,26.2
Patate douce (Sweet Potato),6.02,988.1,24.4
Manioc (Cassava),6.35,1123.5,34.0
Sésame (Sesame),6.86,506.1,30.9
Maïs (Maize),6.42,808.4,20.6
Maïs (Maize),6.18,586.5,21.1
Sésame (Sesame),6.11,591.6,28.5
Riz pluvial (Rainfed Rice),6.28,605.4,29.0
Gombo (Okra),6.14,767.4,31.3
Niébé (Cowpea),5.85,521.5,33.4
Niébé (Cowpea),6.12,592.1,31.7
Patate douce (Sweet Potato),6.18,902.6,27.3
Riz pluvial (Rainfed Rice),6.22,622.3,24.3
Sésame (Sesame),6.28,680.6,33.4
Riz pluvial (Rainfed Rice),6.28,630.3,29.7
Gombo (Okra),5.83,714.5,27.5
Sésame (Sesame),6.15,522.1,33.8
Arachide (Groundnut),6.02,551.1,25.0
Patate douce (Sweet Potato),6.07,945.7,28.8
Gombo (Okra),6.47,654.4,21.9
Niébé (Cowpea),6.21,435.8,28.8
Sorgho (Sorghum),6.99,627.1,33.0
Mil (Pearl Millet),5.92,516.3,36.8
Manioc (Cassava),6.63,1160.7,27.7
Patate douce (Sweet Potato),6.05,941.6,27.0
Niébé (Cowpea),5.94,460.4,30.6
Sorgho (Sorghum),6.75,423.1,33.8
Niébé (Cowpea),6.3,558.3,32.4
Sésame (Sesame),6.96,536.7,34.5
Mil (Pearl Millet),5.89,831.7,33.1
Niébé (Cowpea),6.3,506.7,29.9
Patate douce (Sweet Potato),5.82,845.1,22.7
Gombo (Okra),6.12,605.7,20.6
Sorgho (Sorghum),6.79,597.9,25.5
Sorgho (Sorghum),7.09,410.3,32.4
Manioc (Cassava),6.96,1277.2,32.7
Maïs (Maize),6.47,647.1,27.3
Gombo (Okra),6.49,622.1,33.8
Gombo (Okra),6.59,750.4,30.2
Manioc (Cassava),6.64,1240.3,27.1
Riz pluvial (Rainfed Rice),5.52,624.4,29.8
Niébé (Cowpea),5.62,423.8,29.1
Riz pluvial (Rainfed Rice),6.05,640.8,29.5
Patate douce (Sweet Potato),5.96,917.0,22.1
Gombo (Okra),5.8,769.8,34.1
Sorgho (Sorghum),6.97,553.5,33.9
Maïs (Maize),6.14,716.6,26.5
Patate douce (Sweet Potato),5.89,1042.5,22.7
Arachide (Groundnut),5.86,696.6,25.4
Manioc (Cassava),5.76,1189.4,31.9
Gombo (Okra),6.04,751.6,22.9
Mil (Pearl Millet),5.84,683.7,36.7
Arachide (Groundnut),6.12,625.9,22.8
Maïs (Maize),6.36,809.0,25.4
Niébé (Cowpea),5.8,408.8,32.2
Riz pluvial (Rainfed Rice),6.02,674.7,31.2
Sésame (Sesame),6.78,499.8,25.2
Arachide (Groundnut),6.08,715.4,23.4
Patate douce (Sweet Potato),5.96,968.3,25.5
Gombo (Okra),6.1,842.9,31.5
Niébé (Cowpea),6.03,532.6,29.3
Sésame (Sesame),6.16,501.3,25.2
Niébé (Cowpea),6.17,454.4,26.7
Sésame (Sesame),6.35,653.8,26.9
Maïs (Maize),6.18,503.2,31.3
Patate douce (Sweet Potato),5.86,821.1,23.6
Mil (Pearl Millet),5.91,853.7,37.0
Maïs (Maize),6.14,586.3,26.1
Arachide (Groundnut),5.93,530.7,21.4
Sésame (Sesame),6.35,661.7,28.3
Patate douce (Sweet Potato),5.89,826.9,25.5
Maïs (Maize),6.16,814.1,31.7
Mil (Pearl Millet),5.32,692.2,39.7
Arachide (Groundnut),5.88,577.7,23.3
Gombo (Okra),5.87,625.8,30.0
Sésame (Sesame),6.73,666.8,26.1
Sorgho (Sorghum),6.89,560.9,31.4
Maïs (Maize),6.31,728.3,29.0
Patate douce (Sweet Potato),6.08,788.7,28.3
Maïs (Maize),6.14,865.9,32.7
Manioc (Cassava),6.31,1236.3,27.1
Sésame (Sesame),6.19,444.6,30.2
Niébé (Cowpea),5.56,383.6,32.9
Gombo (Okra),6.31,834.6,32.8
Riz pluvial (Rainfed Rice),6.49,653.6,25.7
Patate douce (Sweet Potato),5.86,1033.4,23.7
Manioc (Cassava),6.08,1224.5,30.0
Arachide (Groundnut),6.18,812.5,25.4
Riz pluvial (Rainfed Rice),5.65,648.4,26.4
Sésame (Sesame),6.88,623.1,29.4
Gombo (Okra),6.65,808.1,25.1
Arachide (Groundnut),6.15,764.0,29.8
Riz pluvial (Rainfed Rice),5.66,646.0,27.0
Manioc (Cassava),6.82,1464.7,34.6
Sésame (Sesame),6.63,528.2,27.8
Sorgho (Sorghum),6.0,518.6,29.4
Sorgho (Sorghum),7.29,551.2,29.5
Manioc (Cassava),5.7,1197.5,27.1
Sésame (Sesame),6.41,588.6,29.4
Patate douce (Sweet Potato),5.93,860.4,23.4
Patate douce (Sweet Potato),6.18,1005.4,23.1
Niébé (Cowpea),6.16,408.2,33.7
Sorgho (Sorghum),7.45,611.7,33.3
Patate douce (Sweet Potato),6.11,790.4,23.8
Riz pluvial (Rainfed Rice),5.58,655.7,26.2
Maïs (Maize),6.34,704.1,32.9
Manioc (Cassava),5.96,1179.2,32.6
Sorgho (Sorghum),7.43,593.1,34.7
Sésame (Sesame),6.47,632.9,32.9
Riz pluvial (Rainfed Rice),6.02,693.6,27.3
Sorgho (Sorghum),7.46,509.4,30.9
Arachide (Groundnut),6.18,717.7,23.4
Manioc (Cassava),6.33,1188.1,32.7
Sorgho (Sorghum),6.52,637.7,26.4
Sésame (Sesame),6.88,416.1,28.4
Manioc (Cassava),6.93,1299.5,34.2
Niébé (Cowpea),5.94,546.9,25.0
Sorgho (Sorghum),6.15,625.2,26.0
Riz pluvial (Rainfed Rice),6.04,681.8,30.7
Sorgho (Sorghum),6.13,512.6,31.8
Riz pluvial (Rainfed Rice),6.41,613.6,30.8
Maïs (Maize),6.25,542.8,24.2
Niébé (Cowpea),5.81,434.4,27.7
Gombo (Okra),6.35,756.1,29.2
Niébé (Cowpea),5.68,487.7,26.0
Arachide (Groundnut),6.04,840.3,24.1
Manioc (Cassava),5.75,1381.1,32.1
Niébé (Cowpea),5.63,583.4,28.1
Gombo (Okra),5.8,827.8,26.2
Manioc (Cassava),6.22,1336.7,30.6
Arachide (Groundnut),6.05,623.3,26.9
Mil (Pearl Millet),5.9,711.8,34.6
Sésame (Sesame),6.95,571.8,31.2
Niébé (Cowpea),6.28,441.8,25.7
Mil (Pearl Millet),5.21,644.6,34.2
Sorgho (Sorghum),6.84,589.0,31.9
Manioc (Cassava),6.2,1063.5,25.1
Riz pluvial (Rainfed Rice),5.99,609.2,30.8
Sésame (Sesame),6.94,645.7,26.9
Patate douce (Sweet Potato),5.94,846.9,22.1
Manioc (Cassava),6.74,1029.8,28.7
Niébé (Cowpea),6.47,403.1,31.5
Sésame (Sesame),6.37,538.6,27.0
Sésame (Sesame),6.51,499.2,31.8
Gombo (Okra),6.44,747.7,31.1
Manioc (Cassava),6.18,1167.4,31.7
Niébé (Cowpea),6.28,371.8,30.4
Mil (Pearl Millet),5.78,584.2,32.0
Manioc (Cassava),5.73,1466.0,27.6
Arachide (Groundnut),5.8,619.4,27.5
Arachide (Groundnut),5.84,587.6,23.4
Niébé (Cowpea),6.17,547.1,25.1
Arachide (Groundnut),5.93,895.3,21.8
Riz pluvial (Rainfed Rice),6.44,653.3,29.3
Riz pluvial (Rainfed Rice),5.77,609.9,25.4
Arachide (Groundnut),5.81,603.3,27.0
Riz pluvial (Rainfed Rice),6.23,661.2,28.6
Riz pluvial (Rainfed Rice),6.03,623.2,26.7
Manioc (Cassava),6.57,1299.9,33.1
Patate douce (Sweet Potato),5.9,957.2,25.4
Sorgho (Sorghum),6.07,564.8,28.4
Patate douce (Sweet Potato),5.98,936.2,21.5
Gombo (Okra),6.45,842.8,32.7
Sésame (Sesame),6.36,601.5,26.3
Sésame (Sesame),6.47,581.1,25.7
Patate douce (Sweet Potato),6.04,1016.4,28.3
Sorgho (Sorghum),7.35,513.9,29.1
Patate douce (Sweet Potato),5.89,985.5,24.2
Mil (Pearl Millet),5.57,817.7,33.0
Arachide (Groundnut),5.95,861.9,21.7
Mil (Pearl Millet),5.35,708.0,30.4
Sorgho (Sorghum),7.05,457.3,29.6
Manioc (Cassava),6.81,1023.0,33.1
Arachide (Groundnut),5.93,546.6,22.1
Riz pluvial (Rainfed Rice),5.83,673.0,30.6
Sorgho (Sorghum),6.15,606.4,30.0
Mil (Pearl Millet),5.83,818.9,35.3
Manioc (Cassava),6.79,1046.3,25.9
Sésame (Sesame),6.93,614.6,28.5
Mil (Pearl Millet),5.31,720.8,33.5
Gombo (Okra),6.33,722.1,21.0
Arachide (Groundnut),5.99,803.2,23.1
Arachide (Groundnut),6.18,761.0,29.5
Sésame (Sesame),6.75,449.0,32.9
Niébé (Cowpea),6.16,418.3,25.9
Sésame (Sesame),6.32,439.9,33.3
Riz pluvial (Rainfed Rice),5.53,639.3,31.3
Sorgho (Sorghum),7.43,474.8,34.4
Patate douce (Sweet Potato),5.97,770.0,26.9
Niébé (Cowpea),5.68,447.2,29.9
Sésame (Sesame),6.62,464.1,29.8
